Warehouse_ID,Date,Region,Utilization_%,Days_Of_Supply_Remaining,Stock_Aging_90d_Plus,SLA_Compliance_%,Split_Tag
WH013,2018-01-01,Central,87.9576,38.0,645.0,86.7833,TRAIN
WH013,2018-01-01,North,85.7943,6.0,1204.0,93.3029,TRAIN
WH014,2018-01-01,Central,66.0866,40.0,270.0,,TRAIN
WH014,2018-01-01,Central,95.0178,12.0,777.0,85.3572,TRAIN
WH014,2018-01-01,East,72.7151,39.0,320.0,85.1749,TRAIN
WH015,2018-01-01,East,56.341,7.0,,92.0596,TRAIN
WH015,2018-01-01,South,50.5453,20.0,2125.0,94.134,TRAIN
WH015,2018-01-01,Central,44.8782,15.0,415.0,95.916,TRAIN
WH016,2018-01-01,Central,79.3954,43.0,1044.0,,TRAIN
WH016,2018-01-01,North,50.2187,25.0,472.0,93.2857,TRAIN
WH016,2018-01-01,Central,65.2027,35.0,922.0,91.9563,TRAIN
WH017,2018-01-01,East,71.4774,23.0,1255.0,91.1817,TRAIN
WH017,2018-01-01,Central,48.1747,,566.0,88.3948,TRAIN
WH017,2018-01-01,East,,9.0,1636.0,95.9985,TRAIN
WH018,2018-01-01,Central,,19.0,793.0,90.2903,TRAIN
WH018,2018-01-01,South,65.7379,23.0,1311.0,91.2197,TRAIN
WH018,2018-01-01,West,59.6752,18.0,2075.0,97.0211,TRAIN
WH019,2018-01-01,Central,46.1296,43.0,1435.0,93.3718,TRAIN
WH019,2018-01-01,Central,82.0189,32.0,1832.0,88.0838,TRAIN
WH019,2018-01-01,Central,76.8203,33.0,1706.0,86.7742,TRAIN
WH020,2018-01-01,North,55.9933,28.0,1164.0,98.3912,TRAIN
WH020,2018-01-01,Central,97.1258,13.0,2393.0,98.4777,TRAIN
WH020,2018-01-01,South,58.0086,32.0,307.0,92.4628,TRAIN
WH021,2018-01-01,West,51.691,42.0,344.0,92.1098,TRAIN
WH021,2018-01-01,Central,48.6942,38.0,1439.0,87.668,TRAIN
WH021,2018-01-01,West,54.6992,27.0,1672.0,85.4707,TRAIN
WH022,2018-01-01,Central,76.9833,29.0,976.0,91.9224,TRAIN
WH022,2018-01-01,East,63.8476,44.0,1957.0,90.8098,TRAIN
WH022,2018-01-01,East,94.4775,23.0,2141.0,95.374,TRAIN
WH023,2018-01-01,North,97.7322,42.0,1400.0,95.7986,TRAIN
WH023,2018-01-01,North,,36.0,1655.0,,TRAIN
WH023,2018-01-01,South,44.973,32.0,1030.0,92.7117,TRAIN
WH024,2018-01-01,South,49.7104,14.0,804.0,97.3278,TRAIN
WH024,2018-01-01,North,40.0518,39.0,2255.0,85.8077,TRAIN
WH024,2018-01-01,North,43.8,38.0,2304.0,95.8748,TRAIN
WH025,2018-01-01,West,61.2106,13.0,1310.0,89.5615,TRAIN
WH025,2018-01-01,South,85.6692,38.0,2132.0,86.0847,TRAIN
WH025,2018-01-01,East,44.1135,32.0,1648.0,93.791,TRAIN
WH026,2018-01-01,East,80.4538,29.0,1061.0,91.6268,TRAIN
WH026,2018-01-01,South,40.8195,18.0,764.0,91.5843,TRAIN
WH026,2018-01-01,West,73.8335,5.0,2084.0,90.9167,TRAIN
WH027,2018-01-01,Central,87.4707,30.0,2180.0,92.58,TRAIN
WH027,2018-01-01,West,43.649,18.0,1494.0,91.5608,TRAIN
WH027,2018-01-01,East,85.7702,20.0,2060.0,92.1469,TRAIN
WH028,2018-01-01,West,88.557,41.0,975.0,87.0186,TRAIN
WH028,2018-01-01,West,55.4506,43.0,1810.0,98.9969,TRAIN
WH028,2018-01-01,East,93.8963,31.0,639.0,98.6846,TRAIN
WH029,2018-01-01,Central,,12.0,1287.0,94.833,TRAIN
WH029,2018-01-01,East,87.5327,33.0,1074.0,92.1767,TRAIN
WH029,2018-01-01,East,86.4121,40.0,1310.0,91.957,TRAIN
WH030,2018-01-01,Central,80.9222,34.0,1431.0,94.4009,TRAIN
WH030,2018-01-01,South,89.9822,43.0,1965.0,92.1045,TRAIN
WH030,2018-01-01,Central,67.7553,12.0,1989.0,97.43,TRAIN
WH031,2018-01-01,North,49.2057,41.0,1752.0,88.9797,TRAIN
WH031,2018-01-01,Central,46.6452,17.0,1888.0,92.401,TRAIN
WH031,2018-01-01,East,51.6649,25.0,1366.0,98.751,TRAIN
WH032,2018-01-01,Central,53.5567,23.0,2365.0,92.998,TRAIN
WH032,2018-01-01,Central,52.2452,20.0,2022.0,96.8305,TRAIN
WH032,2018-01-01,North,79.1501,36.0,1916.0,94.016,TRAIN
WH033,2018-01-01,Central,76.0113,41.0,1853.0,87.6716,TRAIN
WH033,2018-01-01,Central,58.1179,21.0,301.0,87.9988,TRAIN
WH033,2018-01-01,Central,40.6242,11.0,638.0,87.7991,TRAIN
WH034,2018-01-01,Central,89.9838,12.0,394.0,89.8843,TRAIN
WH034,2018-01-01,Central,86.7707,18.0,2173.0,86.3821,TRAIN
WH034,2018-01-01,North,86.3823,22.0,2288.0,88.7555,TRAIN
WH035,2018-01-01,Central,85.3486,11.0,1500.0,92.0616,TRAIN
WH035,2018-01-01,East,93.7404,35.0,379.0,89.0735,TRAIN
WH035,2018-01-01,Central,,40.0,872.0,88.8299,TRAIN
WH036,2018-01-01,Central,85.4109,23.0,541.0,92.1282,TRAIN
WH036,2018-01-01,North,48.497,15.0,2413.0,88.7859,TRAIN
WH036,2018-01-01,Central,84.2765,27.0,814.0,92.2492,TRAIN
WH037,2018-01-01,North,63.0561,12.0,2291.0,85.3794,TRAIN
WH037,2018-01-01,South,45.6904,32.0,2359.0,85.8549,TRAIN
WH037,2018-01-01,West,93.1359,40.0,332.0,85.2141,TRAIN
WH038,2018-01-01,North,75.1686,24.0,1986.0,88.3416,TRAIN
WH038,2018-01-01,South,42.3808,33.0,1261.0,90.8947,TRAIN
WH038,2018-01-01,West,87.2413,31.0,1250.0,98.1328,TRAIN
WH039,2018-01-01,East,59.3047,24.0,245.0,94.0733,TRAIN
WH039,2018-01-01,East,81.5566,,910.0,90.6577,TRAIN
WH039,2018-01-01,Central,62.6838,24.0,1618.0,92.2417,TRAIN
WH040,2018-01-01,East,53.8508,25.0,2083.0,97.9926,TRAIN
WH040,2018-01-01,South,53.1519,7.0,294.0,90.0664,TRAIN
WH040,2018-01-01,West,67.1026,,1343.0,85.9934,TRAIN
WH041,2018-01-01,South,82.6717,30.0,202.0,88.075,TRAIN
WH041,2018-01-01,South,63.0856,21.0,2380.0,97.986,TRAIN
WH041,2018-01-01,West,57.3041,23.0,767.0,85.7077,TRAIN
WH042,2018-01-01,East,65.6357,28.0,2305.0,95.9998,TRAIN
WH042,2018-01-01,North,93.2555,42.0,119.0,89.6354,TRAIN
WH042,2018-01-01,South,48.467,30.0,169.0,85.3655,TRAIN
WH043,2018-01-01,North,72.688,40.0,640.0,91.7826,TRAIN
WH043,2018-01-01,East,90.0587,41.0,370.0,86.675,TRAIN
WH043,2018-01-01,East,55.5305,22.0,2223.0,85.0555,TRAIN
WH044,2018-01-01,East,86.039,8.0,1770.0,89.8244,TRAIN
WH044,2018-01-01,South,85.0499,7.0,1546.0,98.1307,TRAIN
WH044,2018-01-01,South,71.339,43.0,2013.0,97.5336,TRAIN
WH045,2018-01-01,Central,54.8632,31.0,1106.0,85.9328,TRAIN
WH045,2018-01-01,South,44.3465,43.0,884.0,97.3879,TRAIN
WH045,2018-01-01,North,67.3767,31.0,198.0,94.1461,TRAIN
WH046,2018-01-01,East,44.4231,24.0,1848.0,97.4071,TRAIN
WH046,2018-01-01,West,41.1238,44.0,112.0,88.5591,TRAIN
WH046,2018-01-01,Central,69.1556,32.0,498.0,88.6798,TRAIN
WH047,2018-01-01,West,73.1409,34.0,751.0,90.3107,TRAIN
WH047,2018-01-01,East,55.351,20.0,1135.0,90.4585,TRAIN
WH047,2018-01-01,North,94.3631,31.0,2299.0,85.1948,TRAIN
WH048,2018-01-01,South,68.4134,27.0,831.0,89.4492,TRAIN
WH048,2018-01-01,Central,66.2808,15.0,798.0,89.2779,TRAIN
WH048,2018-01-01,South,78.7364,29.0,863.0,87.1197,TRAIN
WH049,2018-01-01,South,60.6652,36.0,192.0,95.3872,TRAIN
WH049,2018-01-01,North,76.2823,5.0,1154.0,87.4507,TRAIN
WH049,2018-01-01,Central,40.4661,10.0,1065.0,95.7688,TRAIN
WH050,2018-01-01,North,70.751,21.0,1758.0,96.4252,TRAIN
WH050,2018-01-01,West,50.7162,40.0,1413.0,85.9493,TRAIN
WH050,2018-01-01,South,54.5124,35.0,2136.0,90.2841,TRAIN
WH001,2018-02-01,South,86.5636,11.0,272.0,89.953,TRAIN
WH001,2018-02-01,South,85.9583,37.0,2191.0,92.0411,TRAIN
WH001,2018-02-01,South,86.512,40.0,857.0,94.6006,TRAIN
WH002,2018-02-01,South,94.4967,,907.0,91.2665,TRAIN
WH002,2018-02-01,North,90.0414,22.0,406.0,85.4712,TRAIN
WH002,2018-02-01,West,89.5003,33.0,1603.0,97.5249,TRAIN
WH003,2018-02-01,Central,94.3619,9.0,1132.0,91.6047,TRAIN
WH003,2018-02-01,South,89.3562,23.0,2477.0,96.2037,TRAIN
WH003,2018-02-01,Central,92.4133,25.0,1600.0,87.6321,TRAIN
WH004,2018-02-01,East,86.0442,25.0,405.0,98.6392,TRAIN
WH004,2018-02-01,Central,93.554,32.0,1875.0,86.3648,TRAIN
WH004,2018-02-01,West,88.6766,21.0,581.0,96.2906,TRAIN
WH005,2018-02-01,East,93.9265,40.0,2355.0,98.2913,TRAIN
WH005,2018-02-01,Central,86.2993,40.0,1003.0,91.4026,TRAIN
WH005,2018-02-01,South,88.3089,26.0,1442.0,92.126,TRAIN
WH006,2018-02-01,Central,87.3065,41.0,1533.0,98.9545,TRAIN
WH006,2018-02-01,Central,93.5678,30.0,2245.0,92.431,TRAIN
WH006,2018-02-01,South,87.4403,44.0,1211.0,95.1193,TRAIN
WH007,2018-02-01,North,87.8987,37.0,1494.0,85.5052,TRAIN
WH007,2018-02-01,West,89.2615,30.0,1272.0,94.8063,TRAIN
WH007,2018-02-01,Central,88.1674,20.0,1780.0,88.0567,TRAIN
WH008,2018-02-01,East,94.9725,8.0,1496.0,87.4686,TRAIN
WH008,2018-02-01,Central,91.0828,12.0,1998.0,85.4603,TRAIN
WH008,2018-02-01,Central,94.8415,8.0,2074.0,95.8109,TRAIN
WH009,2018-02-01,Central,85.1323,15.0,1831.0,90.7758,TRAIN
WH009,2018-02-01,North,93.7625,27.0,650.0,95.8132,TRAIN
WH009,2018-02-01,South,86.7412,42.0,1523.0,87.6903,TRAIN
WH010,2018-02-01,Central,88.1301,19.0,471.0,90.7358,TRAIN
WH010,2018-02-01,Central,85.7816,20.0,1075.0,87.348,TRAIN
WH010,2018-02-01,North,93.4224,35.0,2414.0,91.7862,TRAIN
WH011,2018-02-01,West,85.2317,26.0,912.0,92.0729,TRAIN
WH011,2018-02-01,North,93.796,25.0,2315.0,91.2207,TRAIN
WH011,2018-02-01,North,87.0982,23.0,2367.0,98.9422,TRAIN
WH012,2018-02-01,South,85.9708,22.0,2023.0,87.8729,TRAIN
WH012,2018-02-01,North,88.7179,12.0,376.0,96.2017,TRAIN
WH012,2018-02-01,West,86.6894,28.0,1787.0,98.4707,TRAIN
WH013,2018-02-01,South,85.9105,18.0,2469.0,96.524,TRAIN
WH013,2018-02-01,South,91.2433,39.0,1859.0,,TRAIN
WH013,2018-02-01,North,86.967,34.0,1454.0,95.1846,TRAIN
WH014,2018-02-01,Central,86.1169,11.0,2044.0,89.3564,TRAIN
WH014,2018-02-01,South,89.2965,5.0,1377.0,98.5827,TRAIN
WH014,2018-02-01,Central,86.3257,39.0,257.0,90.0507,TRAIN
WH015,2018-02-01,South,88.2179,42.0,2000.0,91.1378,TRAIN
WH015,2018-02-01,East,94.5919,21.0,1814.0,86.5551,TRAIN
WH015,2018-02-01,West,87.9165,24.0,1602.0,94.7378,TRAIN
WH016,2018-02-01,North,94.3206,27.0,143.0,91.1059,TRAIN
WH016,2018-02-01,North,86.8126,41.0,1707.0,90.9143,TRAIN
WH016,2018-02-01,North,91.4743,44.0,2142.0,94.7581,TRAIN
WH017,2018-02-01,North,90.2783,20.0,882.0,91.7778,TRAIN
WH017,2018-02-01,North,85.6134,5.0,962.0,90.2068,TRAIN
WH017,2018-02-01,West,85.1025,35.0,904.0,97.7591,TRAIN
WH018,2018-02-01,Central,92.3358,42.0,1486.0,93.0585,TRAIN
WH018,2018-02-01,East,85.8096,35.0,233.0,97.1324,TRAIN
WH018,2018-02-01,East,88.6124,41.0,2143.0,91.5925,TRAIN
WH019,2018-02-01,Central,89.2334,21.0,1734.0,86.6723,TRAIN
WH019,2018-02-01,South,89.3627,39.0,1687.0,88.0258,TRAIN
WH019,2018-02-01,North,85.6312,12.0,,97.1733,TRAIN
WH020,2018-02-01,Central,91.0583,12.0,2082.0,98.8544,TRAIN
WH020,2018-02-01,South,92.3593,13.0,1355.0,98.7912,TRAIN
WH020,2018-02-01,East,93.1677,40.0,2180.0,98.165,TRAIN
WH021,2018-02-01,East,91.2125,17.0,403.0,90.6737,TRAIN
WH021,2018-02-01,North,94.6993,22.0,1483.0,97.5489,TRAIN
WH021,2018-02-01,West,86.7974,13.0,1052.0,93.1224,TRAIN
WH022,2018-02-01,North,85.6,22.0,364.0,96.1301,TRAIN
WH022,2018-02-01,North,86.3953,11.0,1785.0,94.5497,TRAIN
WH022,2018-02-01,Central,87.96,20.0,2394.0,86.3842,TRAIN
WH023,2018-02-01,North,88.61,41.0,603.0,94.8788,TRAIN
WH023,2018-02-01,Central,94.3449,9.0,1037.0,87.0023,TRAIN
WH023,2018-02-01,East,87.9888,15.0,1548.0,91.7437,TRAIN
WH024,2018-02-01,North,86.1917,14.0,300.0,96.0944,TRAIN
WH024,2018-02-01,West,93.7624,34.0,2360.0,94.9189,TRAIN
WH024,2018-02-01,South,94.5156,18.0,710.0,98.4607,TRAIN
WH025,2018-02-01,South,92.9381,21.0,2187.0,91.6662,TRAIN
WH025,2018-02-01,West,93.3455,39.0,1589.0,87.8992,TRAIN
WH025,2018-02-01,South,91.8216,36.0,549.0,98.6728,TRAIN
WH026,2018-02-01,East,85.5264,19.0,735.0,88.3544,TRAIN
WH026,2018-02-01,North,91.4013,38.0,1628.0,87.7226,TRAIN
WH026,2018-02-01,Central,87.8994,9.0,834.0,90.9598,TRAIN
WH027,2018-02-01,South,,44.0,2319.0,94.2343,TRAIN
WH027,2018-02-01,North,94.112,41.0,608.0,89.2485,TRAIN
WH027,2018-02-01,Central,87.5939,15.0,2182.0,96.5565,TRAIN
WH028,2018-02-01,North,,41.0,1597.0,90.7484,TRAIN
WH028,2018-02-01,Central,85.9062,12.0,359.0,93.7126,TRAIN
WH028,2018-02-01,South,,37.0,2031.0,92.635,TRAIN
WH029,2018-02-01,West,90.7186,5.0,1895.0,86.2567,TRAIN
WH029,2018-02-01,Central,92.1019,8.0,1187.0,97.2145,TRAIN
WH029,2018-02-01,South,85.764,30.0,,88.4807,TRAIN
WH030,2018-02-01,West,89.6269,9.0,240.0,89.3199,TRAIN
WH030,2018-02-01,South,89.1723,17.0,1165.0,95.8864,TRAIN
WH030,2018-02-01,West,91.9405,14.0,446.0,96.1319,TRAIN
WH031,2018-02-01,Central,94.6784,43.0,2177.0,97.6882,TRAIN
WH031,2018-02-01,West,89.3179,15.0,908.0,85.6896,TRAIN
WH031,2018-02-01,South,94.5552,32.0,1078.0,86.8159,TRAIN
WH032,2018-02-01,Central,94.4905,39.0,2213.0,88.9705,TRAIN
WH032,2018-02-01,Central,92.6725,,313.0,85.5901,TRAIN
WH032,2018-02-01,West,86.8154,41.0,546.0,94.151,TRAIN
WH033,2018-02-01,South,87.8009,25.0,1908.0,95.2901,TRAIN
WH033,2018-02-01,West,90.8655,16.0,1570.0,96.8904,TRAIN
WH033,2018-02-01,North,90.6414,27.0,1005.0,91.7869,TRAIN
WH034,2018-02-01,North,94.2224,22.0,316.0,85.5523,TRAIN
WH034,2018-02-01,West,85.4758,32.0,2226.0,95.0627,TRAIN
WH034,2018-02-01,East,89.7207,6.0,338.0,95.9349,TRAIN
WH035,2018-02-01,East,85.9349,40.0,2481.0,91.4254,TRAIN
WH035,2018-02-01,North,90.6566,24.0,371.0,94.8388,TRAIN
WH035,2018-02-01,West,87.9684,22.0,1893.0,85.1995,TRAIN
WH036,2018-02-01,South,89.6766,41.0,671.0,97.7763,TRAIN
WH036,2018-02-01,South,86.4502,17.0,2147.0,89.9801,TRAIN
WH036,2018-02-01,Central,85.6155,44.0,593.0,94.0183,TRAIN
WH037,2018-02-01,East,90.1015,5.0,1733.0,89.2576,TRAIN
WH037,2018-02-01,North,85.1024,27.0,,94.7113,TRAIN
WH037,2018-02-01,South,88.2124,40.0,693.0,97.2131,TRAIN
WH038,2018-02-01,North,90.8059,6.0,1281.0,94.0581,TRAIN
WH038,2018-02-01,South,94.0543,39.0,142.0,86.7746,TRAIN
WH038,2018-02-01,South,91.9492,13.0,545.0,97.1293,TRAIN
WH039,2018-02-01,West,85.5183,6.0,2032.0,92.0989,TRAIN
WH039,2018-02-01,North,85.1835,10.0,2160.0,98.7754,TRAIN
WH039,2018-02-01,Central,89.1448,18.0,362.0,90.4881,TRAIN
WH040,2018-02-01,Central,85.6925,6.0,,92.0612,TRAIN
WH040,2018-02-01,West,87.8096,19.0,173.0,93.2086,TRAIN
WH040,2018-02-01,South,93.307,19.0,2487.0,88.4801,TRAIN
WH041,2018-02-01,Central,85.3963,5.0,770.0,94.8485,TRAIN
WH041,2018-02-01,South,85.6769,20.0,2129.0,92.0367,TRAIN
WH041,2018-02-01,Central,88.6185,37.0,477.0,91.4273,TRAIN
WH042,2018-02-01,West,90.5046,26.0,2279.0,94.0884,TRAIN
WH042,2018-02-01,South,85.7235,44.0,1011.0,92.6225,TRAIN
WH042,2018-02-01,Central,90.0089,5.0,,98.7269,TRAIN
WH043,2018-02-01,West,92.3911,32.0,354.0,94.3109,TRAIN
WH043,2018-02-01,North,86.5261,22.0,2488.0,97.8469,TRAIN
WH043,2018-02-01,North,93.727,37.0,1577.0,92.3554,TRAIN
WH044,2018-02-01,South,87.7925,24.0,1041.0,89.856,TRAIN
WH044,2018-02-01,East,86.3945,39.0,1942.0,85.4359,TRAIN
WH044,2018-02-01,Central,88.8353,22.0,345.0,98.5499,TRAIN
WH045,2018-02-01,Central,90.7695,29.0,1275.0,90.3601,TRAIN
WH045,2018-02-01,South,93.5675,30.0,1852.0,89.7391,TRAIN
WH045,2018-02-01,South,94.3828,42.0,1245.0,,TRAIN
WH046,2018-02-01,West,,27.0,2018.0,95.8741,TRAIN
WH046,2018-02-01,Central,87.1983,38.0,447.0,88.3427,TRAIN
WH046,2018-02-01,East,89.537,44.0,636.0,92.3131,TRAIN
WH047,2018-02-01,South,93.349,25.0,1801.0,96.5485,TRAIN
WH047,2018-02-01,Central,,41.0,,93.6113,TRAIN
WH047,2018-02-01,East,92.93,17.0,483.0,98.3774,TRAIN
WH048,2018-02-01,West,89.1144,12.0,2392.0,95.0201,TRAIN
WH048,2018-02-01,North,92.0416,41.0,415.0,88.0388,TRAIN
WH048,2018-02-01,West,90.6333,33.0,1649.0,87.9918,TRAIN
WH049,2018-02-01,East,90.7258,23.0,,,TRAIN
WH049,2018-02-01,Central,91.8544,28.0,1038.0,91.7223,TRAIN
WH049,2018-02-01,Central,90.4769,40.0,1811.0,96.4876,TRAIN
WH050,2018-02-01,Central,85.2164,15.0,243.0,91.7034,TRAIN
WH050,2018-02-01,North,93.8568,25.0,470.0,98.4994,TRAIN
WH050,2018-02-01,North,92.5322,38.0,116.0,97.759,TRAIN
WH001,2018-03-01,East,88.0302,24.0,2363.0,92.0112,TRAIN
WH001,2018-03-01,East,92.0426,18.0,1505.0,94.7152,TRAIN
WH001,2018-03-01,West,90.2735,17.0,2066.0,90.2636,TRAIN
WH002,2018-03-01,West,89.4134,7.0,2385.0,87.2991,TRAIN
WH002,2018-03-01,South,88.6222,5.0,1663.0,92.1961,TRAIN
WH002,2018-03-01,Central,94.2853,16.0,1976.0,96.992,TRAIN
WH003,2018-03-01,South,90.3458,10.0,2359.0,,TRAIN
WH003,2018-03-01,West,94.5625,21.0,2120.0,96.1215,TRAIN
WH003,2018-03-01,West,86.0408,30.0,480.0,89.0672,TRAIN
WH004,2018-03-01,East,92.7773,35.0,1515.0,91.333,TRAIN
WH004,2018-03-01,South,94.1083,13.0,2158.0,94.1554,TRAIN
WH004,2018-03-01,East,86.7517,7.0,1770.0,95.9413,TRAIN
WH005,2018-03-01,South,90.8473,32.0,1868.0,93.0347,TRAIN
WH005,2018-03-01,West,90.1689,18.0,1725.0,86.579,TRAIN
WH005,2018-03-01,South,94.3913,14.0,1448.0,85.1993,TRAIN
WH006,2018-03-01,East,86.9762,38.0,126.0,86.529,TRAIN
WH006,2018-03-01,South,86.5359,28.0,1080.0,91.1664,TRAIN
WH006,2018-03-01,East,88.8298,41.0,1174.0,90.7848,TRAIN
WH007,2018-03-01,Central,91.9021,43.0,2415.0,95.568,TRAIN
WH007,2018-03-01,North,93.6081,37.0,1691.0,85.0407,TRAIN
WH007,2018-03-01,North,85.8904,37.0,2231.0,93.9751,TRAIN
WH008,2018-03-01,East,87.2536,31.0,2108.0,98.8309,TRAIN
WH008,2018-03-01,South,91.9214,29.0,2290.0,86.9732,TRAIN
WH008,2018-03-01,North,92.1249,14.0,1198.0,86.0521,TRAIN
WH009,2018-03-01,South,85.9628,24.0,1691.0,89.8331,TRAIN
WH009,2018-03-01,East,89.4029,11.0,1844.0,89.3121,TRAIN
WH009,2018-03-01,West,86.0772,28.0,2420.0,86.4205,TRAIN
WH010,2018-03-01,South,94.9199,18.0,2381.0,94.3966,TRAIN
WH010,2018-03-01,West,94.1453,19.0,1271.0,93.049,TRAIN
WH010,2018-03-01,West,90.8488,18.0,675.0,91.6652,TRAIN
WH011,2018-03-01,West,93.7097,5.0,1116.0,90.5099,TRAIN
WH011,2018-03-01,North,92.4076,34.0,932.0,85.3378,TRAIN
WH011,2018-03-01,Central,93.429,43.0,2003.0,89.4559,TRAIN
WH012,2018-03-01,East,,,1770.0,90.9207,TRAIN
WH012,2018-03-01,West,88.0476,41.0,,95.3142,TRAIN
WH012,2018-03-01,South,91.4534,44.0,1221.0,97.6896,TRAIN
WH013,2018-03-01,South,94.9653,36.0,2492.0,94.5031,TRAIN
WH013,2018-03-01,South,90.3468,11.0,838.0,95.4273,TRAIN
WH013,2018-03-01,East,88.3258,33.0,1079.0,95.3057,TRAIN
WH014,2018-03-01,North,94.5968,19.0,270.0,93.3846,TRAIN
WH014,2018-03-01,South,87.4649,30.0,911.0,93.689,TRAIN
WH014,2018-03-01,West,93.8816,37.0,150.0,87.5303,TRAIN
WH015,2018-03-01,South,88.4443,20.0,2320.0,85.3309,TRAIN
WH015,2018-03-01,North,91.0612,23.0,2145.0,94.9396,TRAIN
WH015,2018-03-01,North,92.6592,,2040.0,94.7949,TRAIN
WH016,2018-03-01,East,89.5232,24.0,2137.0,94.6391,TRAIN
WH016,2018-03-01,East,86.5881,17.0,1263.0,95.3757,TRAIN
WH016,2018-03-01,West,93.9101,22.0,1174.0,97.6503,TRAIN
WH017,2018-03-01,East,88.8664,31.0,892.0,97.1585,TRAIN
WH017,2018-03-01,North,,29.0,214.0,96.2836,TRAIN
WH017,2018-03-01,South,89.6366,43.0,1611.0,86.1484,TRAIN
WH018,2018-03-01,East,94.2787,8.0,1823.0,85.6664,TRAIN
WH018,2018-03-01,West,87.6976,44.0,976.0,90.1919,TRAIN
WH018,2018-03-01,South,89.7664,40.0,1629.0,94.9457,TRAIN
WH019,2018-03-01,South,94.8665,31.0,,97.5946,TRAIN
WH019,2018-03-01,West,90.5411,32.0,1367.0,90.7432,TRAIN
WH019,2018-03-01,Central,91.2213,17.0,1289.0,87.1807,TRAIN
WH020,2018-03-01,West,91.2787,11.0,621.0,91.1528,TRAIN
WH020,2018-03-01,North,92.6176,28.0,1783.0,96.7017,TRAIN
WH020,2018-03-01,East,87.831,13.0,2308.0,93.77,TRAIN
WH021,2018-03-01,East,86.5351,44.0,193.0,97.2433,TRAIN
WH021,2018-03-01,West,90.9871,8.0,1658.0,97.79,TRAIN
WH021,2018-03-01,South,91.959,16.0,685.0,95.9903,TRAIN
WH022,2018-03-01,South,88.0474,5.0,1590.0,90.3405,TRAIN
WH022,2018-03-01,South,89.6242,10.0,1835.0,93.4638,TRAIN
WH022,2018-03-01,North,91.3893,19.0,2328.0,91.4325,TRAIN
WH023,2018-03-01,North,88.8312,30.0,1559.0,98.6785,TRAIN
WH023,2018-03-01,West,90.5449,,874.0,91.9298,TRAIN
WH023,2018-03-01,West,86.5337,42.0,1985.0,89.2018,TRAIN
WH024,2018-03-01,South,92.8506,39.0,1812.0,95.8309,TRAIN
WH024,2018-03-01,North,87.9288,23.0,904.0,98.9493,TRAIN
