Sale_ID,Date,Region,State,Distributor_ID,Channel,Product_SKU,Brand,Net_Units_Sold_TARGET,Avg_Selling_Price_INR,Discount_%,Net_Revenue_INR,Split_Tag
SALE-000018,2018-01-01,North,Delhi,DIST-No-017,Online,SKU003,Others,208.0,,8.5791,6409080.65,TRAIN
SALE-000019,2018-01-01,North,Delhi,DIST-No-018,Retail,SKU001,BrandA,307.0,33152.12,5.3708,9631074.98,TRAIN
SALE-000020,2018-01-01,North,Delhi,DIST-No-019,Online,SKU004,BrandB,236.0,33752.15,4.4805,7608611.88,TRAIN
SALE-000021,2018-01-01,North,Delhi,DIST-No-020,Retail,SKU004,Others,230.0,37535.22,5.6424,8145986.66,TRAIN
SALE-000022,2018-01-01,North,Delhi,DIST-No-021,Distributor,SKU002,Others,,40196.56,9.8552,6957141.76,TRAIN
SALE-000023,2018-01-01,North,Delhi,DIST-No-022,,SKU001,BrandA,104.0,38078.34,8.4523,3625424.47,TRAIN
SALE-000024,2018-01-01,North,Delhi,DIST-No-023,Retail,SKU004,BrandA,328.0,38138.33,4.7063,11920643.42,TRAIN
SALE-000025,2018-01-01,North,Delhi,DIST-No-024,Retail,SKU001,Others,241.0,37991.57,6.6658,8545651.41,TRAIN
SALE-000026,2018-01-01,North,Delhi,DIST-No-025,Retail,SKU004,Others,238.0,40566.42,7.3274,8947361.66,TRAIN
SALE-000027,2018-01-01,North,Delhi,DIST-No-026,Online,SKU002,BrandA,224.0,33469.86,8.2732,6876982.85,TRAIN
SALE-000028,2018-01-01,North,Delhi,DIST-No-027,Online,SKU002,Others,191.0,35477.37,7.3803,6276072.86,TRAIN
SALE-000029,2018-01-01,North,Delhi,DIST-No-028,Online,SKU001,BrandC,159.0,33097.28,7.2555,4880649.07,TRAIN
SALE-000030,2018-01-01,North,Delhi,DIST-No-029,Online,SKU001,Others,256.0,35734.88,7.7883,8435648.66,TRAIN
SALE-000031,2018-01-01,North,Delhi,DIST-No-030,Retail,SKU001,Others,141.0,37330.88,5.7172,4962720.34,TRAIN
SALE-000032,2018-01-01,North,Delhi,DIST-No-031,Distributor,SKU005,Others,202.0,40187.64,9.3466,7359154.17,TRAIN
SALE-000033,2018-01-01,North,Delhi,DIST-No-032,Retail,SKU001,BrandC,228.0,36029.53,3.9445,7890701.11,TRAIN
SALE-000034,2018-01-01,North,Delhi,DIST-No-033,Retail,SKU003,BrandB,260.0,,4.7919,10054731.92,TRAIN
SALE-000035,2018-01-01,North,Delhi,DIST-No-034,Online,SKU003,Others,102.0,33163.88,3.1338,3276708.57,TRAIN
SALE-000036,2018-01-01,North,Delhi,DIST-No-035,Retail,SKU001,BrandB,305.0,36546.19,9.2659,10113752.62,TRAIN
SALE-000037,2018-01-01,North,Delhi,DIST-No-036,Retail,SKU002,BrandC,268.0,37911.07,6.1059,9539796.29,TRAIN
SALE-000038,2018-01-01,North,Delhi,DIST-No-037,Distributor,SKU003,BrandA,214.0,36584.52,6.2051,7343282.74,TRAIN
SALE-000039,2018-01-01,North,Delhi,DIST-No-038,Online,SKU005,BrandA,241.0,33298.33,5.7825,7560853.36,TRAIN
SALE-000040,2018-01-01,North,Delhi,DIST-No-039,Retail,SKU004,BrandC,114.0,39719.93,3.9481,4349298.61,TRAIN
SALE-000041,2018-01-01,South,Tamil Nadu,DIST-So-000,Retail,SKU003,Others,657.0,38029.93,6.3251,23405293.97,TRAIN
SALE-000042,2018-01-01,South,Tamil Nadu,DIST-So-001,Retail,SKU002,Others,506.0,39675.51,6.4064,18789673.54,TRAIN
SALE-000043,2018-01-01,South,Tamil Nadu,DIST-So-002,Retail,SKU005,Others,506.0,34790.44,4.2821,16850149.23,TRAIN
SALE-000044,2018-01-01,South,Tamil Nadu,DIST-So-003,Distributor,SKU004,BrandC,587.0,36714.72,4.5171,20578043.63,TRAIN
SALE-000045,2018-01-01,South,Tamil Nadu,DIST-So-004,Retail,SKU001,BrandB,620.0,37023.98,5.2477,21750270.26,TRAIN
SALE-000046,2018-01-01,South,Tamil Nadu,DIST-So-005,Online,SKU005,Others,445.0,33477.0,,14012899.34,TRAIN
SALE-000047,2018-01-01,South,Tamil Nadu,DIST-So-006,Online,SKU004,BrandA,570.0,38239.21,8.312,19984628.21,TRAIN
SALE-000048,2018-01-01,South,Tamil Nadu,DIST-So-007,Online,SKU004,BrandA,600.0,32555.38,3.374,18874174.57,TRAIN
SALE-000049,2018-01-01,South,Tamil Nadu,DIST-So-008,Retail,SKU001,BrandB,655.0,34163.5,8.0461,20576611.94,TRAIN
SALE-000050,2018-01-01,South,Tamil Nadu,DIST-So-009,Distributor,SKU005,,705.0,41413.68,5.7601,27514882.41,TRAIN
SALE-000051,2018-01-01,South,Tamil Nadu,DIST-So-010,Online,SKU001,BrandC,559.0,40759.15,3.7955,21919577.29,TRAIN
SALE-000052,2018-01-01,South,Tamil Nadu,DIST-So-011,Retail,SKU001,Others,594.0,33393.62,7.4306,18361890.96,TRAIN
SALE-000053,2018-01-01,South,Tamil Nadu,DIST-So-012,Retail,SKU004,BrandA,609.0,34909.02,3.8337,20444562.46,TRAIN
SALE-000054,2018-01-01,South,Tamil Nadu,DIST-So-013,Online,SKU002,Others,686.0,37233.43,7.5005,23626353.99,TRAIN
SALE-000055,2018-01-01,South,Tamil Nadu,DIST-So-014,Retail,SKU005,BrandC,580.0,41704.87,3.2354,23406211.58,TRAIN
SALE-000056,2018-01-01,South,Tamil Nadu,DIST-So-015,Online,SKU002,,600.0,32044.1,6.5707,17963150.84,TRAIN
SALE-000057,2018-01-01,South,Tamil Nadu,DIST-So-016,,SKU005,Others,437.0,36157.93,3.6706,15221015.7,TRAIN
SALE-000058,2018-01-01,South,Tamil Nadu,DIST-So-017,Retail,SKU001,BrandA,612.0,,3.6379,24299743.0,TRAIN
SALE-000059,2018-01-01,South,Tamil Nadu,DIST-So-018,Retail,SKU003,BrandA,649.0,32578.11,5.9792,19879001.7,TRAIN
SALE-000060,2018-01-01,South,Tamil Nadu,DIST-So-019,Online,SKU001,BrandB,702.0,34742.59,4.1749,23371077.13,TRAIN
SALE-000061,2018-01-01,South,Tamil Nadu,DIST-So-020,Online,SKU003,Others,479.0,38034.92,8.8951,16598159.32,TRAIN
SALE-000062,2018-01-01,South,Tamil Nadu,DIST-So-021,Online,SKU001,BrandC,548.0,34672.32,3.1108,18409360.51,TRAIN
SALE-000063,2018-01-01,South,Tamil Nadu,DIST-So-022,Distributor,SKU001,BrandB,588.0,39199.36,8.6707,21050702.93,TRAIN
SALE-000064,2018-01-01,South,Tamil Nadu,DIST-So-023,Online,SKU002,Others,574.0,38479.28,8.1569,20285473.91,TRAIN
SALE-000065,2018-01-01,South,Tamil Nadu,DIST-So-024,Retail,SKU004,Others,593.0,37345.07,3.7864,21307100.3,TRAIN
SALE-000066,2018-01-01,South,Tamil Nadu,DIST-So-025,Distributor,SKU004,BrandA,551.0,36796.61,7.1187,18831619.12,TRAIN
SALE-000067,2018-01-01,South,Tamil Nadu,DIST-So-026,Online,SKU004,Others,508.0,35737.47,5.8362,17095100.83,TRAIN
SALE-000068,2018-01-01,South,Tamil Nadu,DIST-So-027,Retail,SKU005,BrandB,691.0,36723.53,5.3538,24017375.43,TRAIN
SALE-000069,2018-01-01,South,Tamil Nadu,DIST-So-028,Online,SKU001,Others,560.0,36844.98,6.4088,19310845.58,TRAIN
SALE-000070,2018-01-01,South,Tamil Nadu,DIST-So-029,Online,SKU003,BrandB,581.0,39028.36,8.1863,20819184.48,TRAIN
SALE-000071,2018-01-01,South,Tamil Nadu,DIST-So-030,,SKU005,BrandC,622.0,36498.9,8.4181,20791221.31,TRAIN
SALE-000072,2018-01-01,South,Tamil Nadu,DIST-So-031,Retail,SKU005,BrandB,662.0,32091.01,6.2801,19910093.24,TRAIN
SALE-000073,2018-01-01,South,Tamil Nadu,DIST-So-032,Online,SKU001,Others,,37611.53,4.3907,20677066.64,TRAIN
SALE-000074,2018-01-01,South,Tamil Nadu,DIST-So-033,Retail,SKU004,BrandA,583.0,33504.28,4.7602,18603179.61,TRAIN
SALE-000075,2018-01-01,South,Tamil Nadu,DIST-So-034,Online,SKU001,Others,593.0,37313.83,6.7415,20635399.69,TRAIN
SALE-000076,2018-01-01,South,Tamil Nadu,DIST-So-035,Online,SKU004,Others,542.0,40771.22,7.0787,20533760.09,TRAIN
SALE-000077,2018-01-01,South,Tamil Nadu,DIST-So-036,Retail,SKU003,BrandA,649.0,32866.21,7.2519,19783323.06,TRAIN
SALE-000078,2018-01-01,South,Tamil Nadu,DIST-So-037,Distributor,SKU002,Others,597.0,38316.43,3.6467,22040720.08,TRAIN
SALE-000079,2018-01-01,South,Tamil Nadu,DIST-So-038,Online,SKU004,BrandB,607.0,38073.51,5.9702,21730861.11,TRAIN
SALE-000080,2018-01-01,South,Tamil Nadu,DIST-So-039,Distributor,SKU004,BrandA,682.0,33334.66,5.0214,21592656.25,TRAIN
SALE-000081,2018-01-01,East,West Bengal,DIST-Ea-000,Retail,SKU004,BrandA,271.0,35992.5,5.2742,9239524.48,TRAIN
SALE-000082,2018-01-01,East,West Bengal,DIST-Ea-001,Distributor,SKU002,BrandA,414.0,35065.33,4.1639,13912571.85,TRAIN
SALE-000083,2018-01-01,East,West Bengal,DIST-Ea-002,Retail,SKU002,BrandC,345.0,35173.31,3.043,11765535.14,TRAIN
SALE-000084,2018-01-01,East,West Bengal,DIST-Ea-003,Distributor,SKU001,,396.0,38440.79,8.273,13963184.01,TRAIN
SALE-000085,2018-01-01,East,West Bengal,DIST-Ea-004,Retail,SKU002,BrandB,309.0,37275.36,4.5319,10996092.5,TRAIN
SALE-000086,2018-01-01,East,West Bengal,DIST-Ea-005,Retail,SKU003,BrandA,365.0,39092.89,8.3913,13071559.27,TRAIN
SALE-000087,2018-01-01,East,West Bengal,DIST-Ea-006,Online,SKU005,Others,359.0,33634.53,7.5007,11169107.81,TRAIN
SALE-000088,2018-01-01,East,West Bengal,DIST-Ea-007,Online,SKU005,BrandB,355.0,37329.46,5.1932,12563756.52,TRAIN
SALE-000089,2018-01-01,East,West Bengal,DIST-Ea-008,Online,SKU001,Others,266.0,32878.0,8.0122,8044838.73,TRAIN
SALE-000090,2018-01-01,East,West Bengal,DIST-Ea-009,Distributor,SKU003,BrandA,310.0,33492.81,7.8354,9569244.9,TRAIN
SALE-000091,2018-01-01,East,West Bengal,DIST-Ea-010,Retail,SKU005,BrandB,193.0,34725.21,8.9596,6101497.06,TRAIN
SALE-000092,2018-01-01,East,West Bengal,DIST-Ea-011,Online,SKU004,BrandB,340.0,35750.94,8.5143,11120384.4,TRAIN
SALE-000093,2018-01-01,East,West Bengal,DIST-Ea-012,Retail,SKU003,BrandA,398.0,40208.58,7.6453,14779530.26,TRAIN
SALE-000094,2018-01-01,East,West Bengal,DIST-Ea-013,Distributor,SKU001,Others,312.0,37828.17,4.7143,11245994.77,TRAIN
SALE-000095,2018-01-01,East,West Bengal,DIST-Ea-014,Distributor,SKU001,BrandC,282.0,41372.65,4.2745,11168378.2,TRAIN
SALE-000096,2018-01-01,East,West Bengal,DIST-Ea-015,Retail,SKU003,Others,332.0,36512.99,6.4148,11344689.53,TRAIN
SALE-000097,2018-01-01,East,West Bengal,DIST-Ea-016,Online,SKU002,BrandB,318.0,40661.77,4.5167,12346419.98,TRAIN
SALE-000098,2018-01-01,East,West Bengal,DIST-Ea-017,Online,SKU001,BrandB,275.0,41733.56,9.01,10442677.59,TRAIN
SALE-000099,2018-01-01,East,West Bengal,DIST-Ea-018,Retail,SKU001,Others,276.0,35613.58,8.2712,9016341.91,TRAIN
SALE-000100,2018-01-01,East,West Bengal,DIST-Ea-019,Distributor,SKU003,BrandA,239.0,38253.76,7.4432,8462147.54,TRAIN
SALE-000101,2018-01-01,East,West Bengal,DIST-Ea-020,Distributor,SKU005,BrandA,,35669.54,5.717,8104907.67,TRAIN
SALE-000102,2018-01-01,East,West Bengal,DIST-Ea-021,Distributor,SKU004,BrandB,363.0,40091.03,9.4079,13183903.11,TRAIN
SALE-000103,2018-01-01,East,West Bengal,DIST-Ea-022,Distributor,SKU004,BrandB,285.0,32516.0,4.2256,8875471.58,TRAIN
SALE-000104,2018-01-01,East,West Bengal,DIST-Ea-023,Online,SKU004,BrandC,309.0,40283.47,6.1904,11677038.68,TRAIN
SALE-000105,2018-01-01,East,West Bengal,DIST-Ea-024,Online,SKU001,BrandB,339.0,37633.13,8.3163,11696669.7,TRAIN
SALE-000106,2018-01-01,East,West Bengal,DIST-Ea-025,Online,SKU005,BrandA,309.0,40771.94,4.6893,12007740.14,TRAIN
SALE-000107,2018-01-01,East,West Bengal,DIST-Ea-026,Retail,SKU002,BrandC,302.0,37636.16,8.104,10445009.89,TRAIN
SALE-000108,2018-01-01,East,West Bengal,DIST-Ea-027,Retail,SKU001,BrandB,382.0,33476.31,3.3194,12363460.58,TRAIN
SALE-000109,2018-01-01,East,West Bengal,DIST-Ea-028,Online,SKU001,Others,381.0,35661.73,6.5318,12699641.32,TRAIN
SALE-000110,2018-01-01,East,West Bengal,DIST-Ea-029,Distributor,SKU003,Others,361.0,33619.14,4.9367,11537373.33,TRAIN
SALE-000111,2018-01-01,East,West Bengal,DIST-Ea-030,Retail,SKU005,BrandC,347.0,41982.95,4.5879,13899711.44,TRAIN
SALE-000112,2018-01-01,East,West Bengal,DIST-Ea-031,Distributor,SKU003,BrandC,293.0,35164.47,6.662,9616794.22,TRAIN
SALE-000113,2018-01-01,East,West Bengal,DIST-Ea-032,Retail,SKU004,BrandA,295.0,39408.68,4.019,11158326.27,TRAIN
SALE-000114,2018-01-01,East,West Bengal,DIST-Ea-033,Retail,SKU004,BrandB,270.0,32909.73,6.9691,8266381.69,TRAIN
SALE-000115,2018-01-01,East,West Bengal,DIST-Ea-034,Distributor,,BrandC,,35601.71,5.4098,10877261.99,TRAIN
SALE-000116,2018-01-01,East,West Bengal,DIST-Ea-035,,SKU002,BrandA,352.0,39736.25,6.7474,13043390.57,TRAIN
SALE-000117,2018-01-01,East,West Bengal,DIST-Ea-036,Online,SKU004,BrandC,310.0,33658.92,5.3014,9881099.71,TRAIN
SALE-000118,2018-01-01,East,West Bengal,DIST-Ea-037,Retail,SKU001,BrandB,295.0,40087.25,9.3297,10722428.67,TRAIN
SALE-000119,2018-01-01,East,West Bengal,DIST-Ea-038,Online,SKU005,BrandC,358.0,36894.56,7.4016,12230627.82,TRAIN
SALE-000120,2018-01-01,East,West Bengal,DIST-Ea-039,Distributor,SKU002,Others,236.0,34649.45,8.9844,7442594.43,TRAIN
SALE-000121,2018-01-01,West,Maharashtra,DIST-We-000,Online,SKU003,BrandC,551.0,36497.43,5.3768,19028810.04,TRAIN
SALE-000122,2018-01-01,West,Maharashtra,DIST-We-001,Retail,SKU005,BrandA,431.0,41000.22,6.2708,16562970.14,TRAIN
SALE-000123,2018-01-01,West,Maharashtra,DIST-We-002,Distributor,SKU005,BrandB,455.0,32810.74,9.989,13437633.87,TRAIN
SALE-000124,2018-01-01,West,Maharashtra,DIST-We-003,Retail,SKU004,BrandB,573.0,33057.04,3.081,18358095.59,TRAIN
SALE-000125,2018-01-01,West,Maharashtra,DIST-We-004,Distributor,SKU001,BrandB,489.0,36986.14,8.6895,16514621.27,TRAIN
SALE-000126,2018-01-01,West,Maharashtra,DIST-We-005,Retail,SKU004,Others,,35851.9,9.2274,17899032.72,TRAIN
SALE-000127,2018-01-01,West,Maharashtra,DIST-We-006,Online,SKU005,BrandC,411.0,37973.21,7.9332,14368850.41,TRAIN
SALE-000128,2018-01-01,West,Maharashtra,DIST-We-007,Online,SKU001,Others,551.0,33586.78,3.8654,17790971.36,TRAIN
SALE-000129,2018-01-01,West,Maharashtra,DIST-We-008,Retail,SKU002,BrandC,681.0,37760.43,7.883,23687750.11,TRAIN
SALE-000130,2018-01-01,West,Maharashtra,DIST-We-009,Online,SKU004,BrandA,542.0,41330.85,4.2926,21439722.84,TRAIN
SALE-000131,2018-01-01,West,Maharashtra,DIST-We-010,Online,SKU004,BrandB,653.0,33496.89,9.5215,19790787.75,TRAIN
SALE-000132,2018-01-01,West,Maharashtra,DIST-We-011,Online,SKU004,Others,569.0,41344.11,4.9988,22348847.93,TRAIN
SALE-000133,2018-01-01,West,Maharashtra,DIST-We-012,Retail,SKU001,Others,593.0,39741.49,3.4882,22744644.52,TRAIN
SALE-000134,2018-01-01,West,Maharashtra,DIST-We-013,Online,SKU001,BrandA,565.0,36555.57,9.5926,18672655.99,TRAIN
SALE-000135,2018-01-01,West,Maharashtra,DIST-We-014,Retail,SKU001,BrandA,437.0,39844.35,3.9573,16722929.87,TRAIN
SALE-000136,2018-01-01,West,Maharashtra,DIST-We-015,Retail,SKU002,Others,499.0,34426.03,7.1549,15949470.96,TRAIN
SALE-000137,2018-01-01,West,Maharashtra,DIST-We-016,Distributor,SKU003,BrandC,562.0,40789.51,9.4791,20750737.41,TRAIN
SALE-000138,2018-01-01,West,Maharashtra,DIST-We-017,Online,,Others,542.0,38993.84,4.7831,20123765.57,TRAIN
SALE-000139,2018-01-01,West,Maharashtra,DIST-We-018,Retail,SKU005,,505.0,39770.44,3.1663,19448159.98,TRAIN
SALE-000140,2018-01-01,West,Maharashtra,DIST-We-019,Distributor,SKU003,BrandA,415.0,41281.48,7.1175,15912450.18,TRAIN
SALE-000141,2018-01-01,West,Maharashtra,DIST-We-020,Online,SKU005,BrandA,590.0,37776.74,3.035,21611829.63,TRAIN
SALE-000142,2018-01-01,West,Maharashtra,DIST-We-021,Distributor,SKU004,Others,560.0,38640.69,7.8235,19945884.2,TRAIN
SALE-000143,2018-01-01,West,Maharashtra,DIST-We-022,Retail,SKU005,BrandA,474.0,39562.52,5.7651,17671529.13,TRAIN
SALE-000144,2018-01-01,West,Maharashtra,DIST-We-023,Distributor,SKU002,BrandA,344.0,41200.46,4.4753,13538670.99,TRAIN
SALE-000145,2018-01-01,West,Maharashtra,DIST-We-024,Distributor,SKU005,BrandB,458.0,33588.09,9.0408,13992573.52,TRAIN
SALE-000146,2018-01-01,West,Maharashtra,DIST-We-025,Retail,SKU003,BrandA,523.0,33018.21,5.3054,16352352.02,TRAIN
SALE-000147,2018-01-01,West,Maharashtra,DIST-We-026,Retail,SKU003,BrandC,540.0,33835.04,9.0623,16615161.05,TRAIN
SALE-000148,2018-01-01,West,Maharashtra,DIST-We-027,Retail,SKU001,BrandB,500.0,41758.86,3.7206,20102589.61,TRAIN
SALE-000149,2018-01-01,West,Maharashtra,DIST-We-028,Online,SKU001,BrandA,505.0,40742.23,3.8688,19778824.87,TRAIN
SALE-000150,2018-01-01,West,Maharashtra,DIST-We-029,Online,SKU004,BrandC,591.0,33162.81,9.4732,17742551.63,TRAIN
SALE-000151,2018-01-01,West,Maharashtra,DIST-We-030,Retail,SKU002,BrandA,476.0,38638.89,7.9264,16934282.21,TRAIN
SALE-000152,2018-01-01,West,Maharashtra,DIST-We-031,Retail,SKU001,,658.0,40759.7,9.8688,24173077.01,TRAIN
SALE-000153,2018-01-01,West,Maharashtra,DIST-We-032,Online,SKU003,Others,397.0,39268.84,7.6652,14394752.84,TRAIN
SALE-000154,2018-01-01,West,Maharashtra,DIST-We-033,Distributor,SKU005,Others,568.0,34169.44,7.9871,17858084.3,TRAIN
SALE-000155,2018-01-01,West,Maharashtra,DIST-We-034,Distributor,SKU005,BrandB,559.0,41099.69,3.7228,,TRAIN
SALE-000156,2018-01-01,West,Maharashtra,DIST-We-035,Retail,SKU004,BrandC,434.0,38739.47,3.5687,16212929.9,TRAIN
SALE-000157,2018-01-01,West,Maharashtra,DIST-We-036,Distributor,SKU005,BrandA,552.0,41247.51,7.1596,21138477.6,TRAIN
SALE-000158,2018-01-01,West,Maharashtra,DIST-We-037,Retail,,,530.0,39716.57,7.4351,19484706.65,TRAIN
SALE-000159,2018-01-01,West,Maharashtra,DIST-We-038,Retail,SKU001,BrandB,432.0,41288.38,,16767296.21,TRAIN
SALE-000160,2018-01-01,West,Maharashtra,DIST-We-039,Distributor,,Others,513.0,41239.07,4.6469,20172551.85,TRAIN
SALE-000161,2018-01-01,Central,Madhya Pradesh,DIST-Ce-000,Retail,SKU001,Others,364.0,33379.26,3.6033,,TRAIN
SALE-000162,2018-01-01,Central,Madhya Pradesh,DIST-Ce-001,Retail,SKU001,BrandB,328.0,36508.01,9.7528,10806766.49,TRAIN
SALE-000163,2018-01-01,Central,Madhya Pradesh,DIST-Ce-002,Online,SKU004,BrandC,154.0,32365.19,5.3871,4715733.41,TRAIN
SALE-000164,2018-01-01,Central,Madhya Pradesh,DIST-Ce-003,,SKU004,BrandC,326.0,40775.03,3.8949,12774925.19,TRAIN
SALE-000165,2018-01-01,Central,Madhya Pradesh,DIST-Ce-004,Distributor,SKU001,BrandA,378.0,41237.34,3.5712,15031047.87,TRAIN
SALE-000166,2018-01-01,Central,Madhya Pradesh,DIST-Ce-005,Retail,SKU002,Others,377.0,39547.97,6.4056,13954536.29,TRAIN
SALE-000167,2018-01-01,Central,Madhya Pradesh,DIST-Ce-006,Distributor,SKU003,Others,325.0,33378.86,9.7596,9789392.0,TRAIN
SALE-000168,2018-01-01,Central,Madhya Pradesh,DIST-Ce-007,Distributor,SKU002,Others,342.0,33389.23,,10966823.08,TRAIN
SALE-000169,2018-01-01,Central,Madhya Pradesh,DIST-Ce-008,Retail,SKU005,Others,265.0,35170.52,4.3461,8915124.98,TRAIN
SALE-000170,2018-01-01,Central,Madhya Pradesh,DIST-Ce-009,Distributor,SKU004,BrandA,292.0,40231.5,7.7633,10835591.13,TRAIN
SALE-000171,2018-01-01,Central,Madhya Pradesh,DIST-Ce-010,Distributor,SKU005,BrandC,156.0,41756.56,5.9296,6127770.55,TRAIN
SALE-000172,2018-01-01,Central,Madhya Pradesh,DIST-Ce-011,Retail,SKU003,,308.0,34026.7,4.5951,9998646.79,TRAIN
SALE-000173,2018-01-01,Central,Madhya Pradesh,DIST-Ce-012,Online,SKU002,Others,251.0,35613.45,5.665,8432586.31,TRAIN
SALE-000174,2018-01-01,Central,Madhya Pradesh,DIST-Ce-013,Distributor,,,236.0,35214.13,4.0399,7974793.27,TRAIN
SALE-000175,2018-01-01,Central,Madhya Pradesh,DIST-Ce-014,Online,SKU002,,288.0,36124.29,9.7054,9394064.73,TRAIN
SALE-000176,2018-01-01,Central,Madhya Pradesh,DIST-Ce-015,,SKU002,Others,302.0,37946.72,3.5234,11056131.1,TRAIN
SALE-000177,2018-01-01,Central,Madhya Pradesh,DIST-Ce-016,Retail,SKU004,BrandA,274.0,40856.64,8.6995,10220833.93,TRAIN
SALE-000178,2018-01-01,Central,Madhya Pradesh,DIST-Ce-017,Retail,SKU005,BrandA,282.0,32159.73,7.3315,8404150.31,TRAIN
SALE-000179,2018-01-01,Central,Madhya Pradesh,DIST-Ce-018,Online,SKU003,BrandB,395.0,41202.97,7.4441,15063632.25,TRAIN
SALE-000180,2018-01-01,Central,Madhya Pradesh,DIST-Ce-019,Distributor,SKU004,BrandC,299.0,,3.4875,10271302.62,TRAIN
SALE-000181,2018-01-01,Central,Madhya Pradesh,DIST-Ce-020,Online,SKU001,BrandB,340.0,36139.46,9.2908,11145817.23,TRAIN
SALE-000182,2018-01-01,Central,Madhya Pradesh,DIST-Ce-021,Distributor,SKU002,BrandB,349.0,41545.42,3.8109,13946800.3,TRAIN
SALE-000183,2018-01-01,Central,Madhya Pradesh,DIST-Ce-022,Retail,SKU005,BrandC,426.0,37011.65,8.8412,14372968.53,TRAIN
SALE-000184,2018-01-01,Central,Madhya Pradesh,DIST-Ce-023,Distributor,SKU001,BrandC,314.0,,8.7965,9318971.88,TRAIN
SALE-000185,2018-01-01,Central,Madhya Pradesh,DIST-Ce-024,Online,SKU004,BrandA,297.0,32773.45,8.2741,8928341.68,TRAIN
SALE-000186,2018-01-01,Central,Madhya Pradesh,DIST-Ce-025,Distributor,SKU002,BrandA,299.0,41216.06,3.9902,11831864.42,TRAIN
SALE-000187,2018-01-01,Central,Madhya Pradesh,DIST-Ce-026,Online,,BrandA,373.0,,7.9459,12288369.96,TRAIN
SALE-000188,2018-01-01,Central,Madhya Pradesh,DIST-Ce-027,Distributor,SKU003,BrandA,244.0,41327.63,3.7913,9701629.85,TRAIN
SALE-000189,2018-01-01,Central,Madhya Pradesh,DIST-Ce-028,Distributor,SKU004,BrandA,200.0,38709.66,5.4499,7320003.26,TRAIN
SALE-000190,2018-01-01,Central,Madhya Pradesh,DIST-Ce-029,Distributor,SKU004,Others,319.0,33564.74,8.0378,9846530.98,TRAIN
SALE-000191,2018-01-01,Central,Madhya Pradesh,DIST-Ce-030,Distributor,SKU005,Others,280.0,41243.99,4.9953,10971443.48,TRAIN
SALE-000192,2018-01-01,Central,Madhya Pradesh,DIST-Ce-031,Retail,SKU004,BrandB,394.0,41002.37,5.4493,15274602.93,TRAIN
SALE-000193,2018-01-01,Central,Madhya Pradesh,DIST-Ce-032,Online,SKU002,BrandA,204.0,38835.65,6.1495,7435282.42,TRAIN
SALE-000194,2018-01-01,Central,Madhya Pradesh,DIST-Ce-033,Retail,SKU005,BrandB,377.0,38997.62,4.4034,14054711.66,TRAIN
SALE-000195,2018-01-01,Central,Madhya Pradesh,DIST-Ce-034,Online,SKU004,Others,359.0,37968.73,5.1539,12928261.0,TRAIN
