Shipment_ID,Date,Region,State,Origin_Warehouse,Transport_Mode,Units_Shipped,Distance_KM,Cost_Per_Unit_INR,CO2_Emissions_Kg,Split_Tag
SHP-000049,2018-01-01,South,Tamil Nadu,WH015,Rail,1503.0,724.0,633.09,6746.6664,TRAIN
SHP-000050,2018-01-01,South,Tamil Nadu,WH040,Air,805.0,1745.0,610.5,8709.295,TRAIN
SHP-000051,2018-01-01,South,Tamil Nadu,WH014,Road,226.0,1720.0,457.85,2410.064,TRAIN
SHP-000052,2018-01-01,South,Tamil Nadu,WH018,Rail,,1372.0,588.16,9773.8536,TRAIN
SHP-000053,2018-01-01,South,Tamil Nadu,WH004,Road,794.0,1760.0,404.6,8664.128,TRAIN
SHP-000054,2018-01-01,South,Tamil Nadu,WH024,Air,937.0,1573.0,709.22,9138.1862,TRAIN
SHP-000055,2018-01-01,South,Tamil Nadu,WH006,Rail,426.0,2432.0,569.06,6423.3984,TRAIN
SHP-000056,2018-01-01,South,Tamil Nadu,WH022,Air,1480.0,1614.0,382.06,14810.064,TRAIN
SHP-000057,2018-01-01,South,Tamil Nadu,WH009,Air,1386.0,823.0,641.1,7072.2036,TRAIN
SHP-000058,2018-01-01,South,Tamil Nadu,WH031,Rail,816.0,2063.0,555.84,10437.1296,TRAIN
SHP-000059,2018-01-01,South,Tamil Nadu,WH002,Air,1490.0,2370.0,493.25,21894.06,TRAIN
SHP-000060,2018-01-01,South,Tamil Nadu,WH005,Air,1233.0,734.0,636.45,5611.1364,TRAIN
SHP-000061,2018-01-01,South,Tamil Nadu,WH009,Road,718.0,1870.0,698.34,8324.492,TRAIN
SHP-000062,2018-01-01,South,Tamil Nadu,WH035,Rail,303.0,649.0,573.78,1219.2114,TRAIN
SHP-000063,2018-01-01,South,Tamil Nadu,WH048,Air,608.0,808.0,626.65,3045.8368,TRAIN
SHP-000064,2018-01-01,South,Tamil Nadu,WH023,Road,1653.0,1667.0,,17084.4162,TRAIN
SHP-000065,2018-01-01,South,Tamil Nadu,WH027,Road,521.0,1151.0,575.59,3717.9602,TRAIN
SHP-000066,2018-01-01,South,Tamil Nadu,WH001,Air,1420.0,2067.0,542.18,18197.868,TRAIN
SHP-000067,2018-01-01,South,Tamil Nadu,WH038,Road,1678.0,1996.0,466.86,20765.5856,TRAIN
SHP-000068,2018-01-01,South,Tamil Nadu,WH006,Road,754.0,2012.0,420.48,9405.6976,TRAIN
SHP-000069,2018-01-01,South,Tamil Nadu,WH027,Air,1405.0,1109.0,696.44,9660.499,TRAIN
SHP-000070,2018-01-01,South,Tamil Nadu,WH048,Air,992.0,203.0,647.45,1248.5312,TRAIN
SHP-000071,2018-01-01,South,Tamil Nadu,WH029,Rail,1412.0,245.0,,2144.828,TRAIN
SHP-000072,2018-01-01,South,Tamil Nadu,WH034,Air,121.0,2410.0,651.5,1807.982,TRAIN
SHP-000073,2018-01-01,South,Tamil Nadu,WH039,Road,996.0,1109.0,693.75,6848.2968,TRAIN
SHP-000074,2018-01-01,South,Tamil Nadu,WH015,Air,1212.0,592.0,632.08,4448.5248,TRAIN
SHP-000075,2018-01-01,South,Tamil Nadu,WH050,Air,1823.0,2093.0,453.48,23656.3418,TRAIN
SHP-000076,2018-01-01,South,Tamil Nadu,WH001,Rail,1197.0,982.0,392.09,7287.8148,TRAIN
SHP-000077,2018-01-01,South,Tamil Nadu,WH044,Air,1972.0,954.0,458.1,11663.9856,TRAIN
SHP-000078,2018-01-01,South,Tamil Nadu,WH011,Rail,1859.0,954.0,483.02,10995.6132,TRAIN
SHP-000079,2018-01-01,South,Tamil Nadu,WH016,Rail,996.0,2285.0,545.74,14110.332,TRAIN
SHP-000080,2018-01-01,South,Tamil Nadu,WH017,Road,1806.0,607.0,403.94,6796.7004,TRAIN
SHP-000081,2018-01-01,East,West Bengal,WH014,Rail,732.0,1357.0,506.55,6158.6088,TRAIN
SHP-000082,2018-01-01,East,West Bengal,WH021,Road,1992.0,2261.0,605.55,27924.2544,TRAIN
SHP-000083,2018-01-01,East,West Bengal,WH032,Rail,1845.0,1688.0,597.76,19309.032,TRAIN
SHP-000084,2018-01-01,East,West Bengal,,Rail,480.0,861.0,590.98,2562.336,TRAIN
SHP-000085,2018-01-01,East,West Bengal,WH029,Rail,716.0,1494.0,534.95,6632.1648,TRAIN
SHP-000086,2018-01-01,East,West Bengal,WH027,Rail,237.0,2151.0,702.81,3160.6794,TRAIN
SHP-000087,2018-01-01,East,West Bengal,WH044,Rail,1834.0,2448.0,693.73,27835.7184,TRAIN
SHP-000088,2018-01-01,East,West Bengal,WH021,Road,1019.0,2121.0,596.8,13400.0538,TRAIN
SHP-000089,2018-01-01,East,West Bengal,WH039,Road,1853.0,482.0,613.75,5537.5052,TRAIN
SHP-000090,2018-01-01,East,West Bengal,WH023,Rail,417.0,605.0,408.78,1564.167,TRAIN
SHP-000091,2018-01-01,East,West Bengal,WH042,Road,377.0,307.0,514.25,717.5818,TRAIN
SHP-000092,2018-01-01,East,West Bengal,WH013,Road,1606.0,662.0,675.7,6591.6664,TRAIN
SHP-000093,2018-01-01,East,West Bengal,WH050,Road,1675.0,2329.0,690.66,24186.665,TRAIN
SHP-000094,2018-01-01,East,West Bengal,WH008,Rail,59.0,2475.0,,905.355,TRAIN
SHP-000095,2018-01-01,East,West Bengal,WH035,Air,1325.0,2207.0,491.25,18130.505,TRAIN
SHP-000096,2018-01-01,East,West Bengal,WH044,Road,136.0,2145.0,681.07,1808.664,TRAIN
SHP-000097,2018-01-01,East,West Bengal,WH017,Road,455.0,360.0,484.79,1015.56,TRAIN
SHP-000098,2018-01-01,East,West Bengal,WH035,Air,135.0,1883.0,443.98,1576.071,TRAIN
SHP-000099,2018-01-01,East,West Bengal,WH015,Rail,1774.0,2362.0,609.4,25979.1656,TRAIN
SHP-000100,2018-01-01,East,West Bengal,WH045,Air,992.0,911.0,,5603.0144,TRAIN
SHP-000101,2018-01-01,East,West Bengal,WH049,Road,322.0,1141.0,432.74,2277.8924,TRAIN
SHP-000102,2018-01-01,East,West Bengal,WH015,Road,1197.0,1721.0,640.92,12772.2294,TRAIN
SHP-000103,2018-01-01,East,West Bengal,WH025,Road,371.0,978.0,526.09,2249.5956,TRAIN
SHP-000104,2018-01-01,East,West Bengal,WH013,Air,718.0,1678.0,480.32,7469.7848,TRAIN
SHP-000105,2018-01-01,East,West Bengal,WH036,Air,653.0,2358.0,622.01,9546.5988,TRAIN
SHP-000106,2018-01-01,East,West Bengal,WH030,Rail,1371.0,607.0,537.65,5159.6214,TRAIN
SHP-000107,2018-01-01,East,West Bengal,WH047,Air,111.0,736.0,517.12,506.5152,TRAIN
SHP-000108,2018-01-01,East,West Bengal,WH016,,275.0,1711.0,489.53,2917.255,TRAIN
SHP-000109,2018-01-01,East,West Bengal,WH035,Rail,1772.0,2107.0,561.08,23148.3448,TRAIN
SHP-000110,2018-01-01,East,West Bengal,WH002,Rail,1960.0,2132.0,665.45,25908.064,TRAIN
SHP-000111,2018-01-01,East,West Bengal,WH003,Rail,1668.0,150.0,484.66,1551.24,TRAIN
SHP-000112,2018-01-01,East,West Bengal,WH027,Rail,501.0,667.0,618.62,,TRAIN
SHP-000113,2018-01-01,East,West Bengal,WH014,Road,951.0,125.0,541.83,737.025,TRAIN
SHP-000114,2018-01-01,East,West Bengal,WH012,Air,1318.0,2251.0,681.34,18394.2716,TRAIN
SHP-000115,2018-01-01,East,West Bengal,WH009,Rail,765.0,1789.0,513.35,8485.227,TRAIN
SHP-000116,2018-01-01,East,West Bengal,WH047,Air,1940.0,1739.0,646.33,20916.692,TRAIN
SHP-000117,2018-01-01,East,West Bengal,WH038,Air,405.0,849.0,482.69,2131.839,TRAIN
SHP-000118,2018-01-01,East,West Bengal,WH029,Air,839.0,1634.0,644.35,8499.7412,TRAIN
SHP-000119,2018-01-01,East,West Bengal,WH047,Air,1582.0,1439.0,607.53,14114.2876,TRAIN
SHP-000120,2018-01-01,East,West Bengal,WH033,Air,1553.0,992.0,705.07,9551.5712,TRAIN
SHP-000121,2018-01-01,West,Maharashtra,WH043,Rail,354.0,1880.0,457.99,4126.224,TRAIN
SHP-000122,2018-01-01,West,Maharashtra,WH020,Road,1575.0,1605.0,,15672.825,TRAIN
SHP-000123,2018-01-01,West,Maharashtra,WH018,Air,373.0,1424.0,461.62,3293.1424,TRAIN
SHP-000124,2018-01-01,West,Maharashtra,WH027,Air,1941.0,1712.0,614.42,20602.5504,TRAIN
SHP-000125,2018-01-01,West,Maharashtra,WH001,Air,641.0,1709.0,641.69,6791.9078,TRAIN
SHP-000126,2018-01-01,West,Maharashtra,WH035,Road,,332.0,685.34,,TRAIN
SHP-000127,2018-01-01,West,Maharashtra,WH035,Air,554.0,1416.0,675.48,4863.6768,TRAIN
SHP-000128,2018-01-01,West,Maharashtra,WH006,Air,1587.0,1900.0,624.51,18694.86,TRAIN
SHP-000129,2018-01-01,West,Maharashtra,WH035,Rail,1894.0,1900.0,644.34,22311.32,TRAIN
SHP-000130,2018-01-01,West,Maharashtra,WH018,Road,1557.0,2267.0,551.38,21884.2578,TRAIN
SHP-000131,2018-01-01,West,Maharashtra,WH009,Rail,1953.0,1254.0,469.79,15184.1844,TRAIN
SHP-000132,2018-01-01,West,Maharashtra,WH034,Rail,1342.0,339.0,681.14,2820.6156,TRAIN
SHP-000133,2018-01-01,West,Maharashtra,WH027,Air,1952.0,1851.0,,22401.5424,TRAIN
SHP-000134,2018-01-01,West,Maharashtra,WH009,Air,585.0,1059.0,576.9,3840.993,TRAIN
SHP-000135,2018-01-01,West,Maharashtra,WH013,Road,882.0,2240.0,397.29,12249.216,TRAIN
SHP-000136,2018-01-01,West,Maharashtra,WH044,Rail,1307.0,2395.0,498.22,19407.643,TRAIN
SHP-000137,2018-01-01,West,Maharashtra,WH023,Road,1839.0,397.0,465.49,4526.5146,TRAIN
SHP-000138,2018-01-01,West,Maharashtra,WH007,Rail,1944.0,1437.0,496.9,17319.8736,TRAIN
SHP-000139,2018-01-01,West,Maharashtra,,Air,857.0,477.0,645.53,2534.4918,TRAIN
SHP-000140,2018-01-01,West,Maharashtra,WH013,Air,144.0,610.0,576.4,544.608,TRAIN
SHP-000141,2018-01-01,West,Maharashtra,WH002,Rail,1477.0,2306.0,493.08,,TRAIN
SHP-000142,2018-01-01,West,Maharashtra,WH040,Road,1305.0,1023.0,412.96,8277.093,TRAIN
SHP-000143,2018-01-01,West,Maharashtra,WH041,Air,79.0,600.0,655.83,293.88,TRAIN
SHP-000144,2018-01-01,West,Maharashtra,WH014,Air,80.0,2356.0,523.1,1168.576,TRAIN
SHP-000145,2018-01-01,West,Maharashtra,WH009,Road,1454.0,989.0,558.65,8915.6372,TRAIN
SHP-000146,2018-01-01,West,Maharashtra,WH021,Air,1090.0,1106.0,386.53,7474.348,TRAIN
SHP-000147,2018-01-01,West,Maharashtra,WH014,Road,1256.0,491.0,712.7,3823.5152,TRAIN
SHP-000148,2018-01-01,West,Maharashtra,WH016,Road,101.0,2202.0,387.28,1378.8924,TRAIN
SHP-000149,2018-01-01,West,Maharashtra,WH025,Road,,110.0,406.04,1147.124,TRAIN
SHP-000150,2018-01-01,West,Maharashtra,WH035,Air,413.0,1940.0,491.02,4967.564,TRAIN
SHP-000151,2018-01-01,West,Maharashtra,WH026,Air,1462.0,2125.0,512.81,19261.85,TRAIN
SHP-000152,2018-01-01,West,Maharashtra,WH013,,640.0,1084.0,604.86,4301.312,TRAIN
SHP-000153,2018-01-01,West,Maharashtra,WH008,Air,1245.0,1529.0,407.88,11802.351,TRAIN
SHP-000154,2018-01-01,West,Maharashtra,WH049,Rail,1704.0,692.0,589.26,7310.8416,TRAIN
SHP-000155,2018-01-01,West,Maharashtra,WH013,Road,1531.0,232.0,476.58,2202.1904,TRAIN
SHP-000156,2018-01-01,West,Maharashtra,WH002,Road,1295.0,1201.0,576.87,9642.829,TRAIN
SHP-000157,2018-01-01,West,Maharashtra,WH033,Air,1062.0,2344.0,681.95,15433.8336,TRAIN
SHP-000158,2018-01-01,West,Maharashtra,WH013,Road,821.0,205.0,506.75,1043.491,TRAIN
SHP-000159,2018-01-01,West,Maharashtra,WH012,Road,1321.0,2239.0,450.78,,TRAIN
SHP-000160,2018-01-01,West,Maharashtra,WH007,Air,867.0,1077.0,689.5,5789.3058,TRAIN
SHP-000161,2018-01-01,Central,Madhya Pradesh,WH044,Rail,1744.0,1408.0,470.38,15224.4224,TRAIN
SHP-000162,2018-01-01,Central,Madhya Pradesh,WH021,Rail,689.0,1258.0,646.11,5373.9244,TRAIN
SHP-000163,2018-01-01,Central,Madhya Pradesh,WH033,Rail,1924.0,639.0,673.68,7622.5032,TRAIN
SHP-000164,2018-01-01,Central,Madhya Pradesh,WH039,Rail,211.0,1877.0,491.51,2455.4914,TRAIN
SHP-000165,2018-01-01,Central,Madhya Pradesh,WH045,Road,1496.0,240.0,536.1,2226.048,TRAIN
SHP-000166,2018-01-01,Central,Madhya Pradesh,WH027,Rail,1735.0,951.0,542.74,10229.907,TRAIN
SHP-000167,2018-01-01,Central,Madhya Pradesh,WH024,Rail,1734.0,2468.0,703.42,26532.9744,TRAIN
SHP-000168,2018-01-01,Central,Madhya Pradesh,WH011,,876.0,288.0,614.14,1564.1856,TRAIN
SHP-000169,2018-01-01,Central,Madhya Pradesh,WH021,Road,241.0,304.0,599.18,454.2368,TRAIN
SHP-000170,2018-01-01,Central,Madhya Pradesh,WH039,Road,187.0,1936.0,462.66,2244.5984,TRAIN
SHP-000171,2018-01-01,Central,Madhya Pradesh,WH022,Rail,83.0,1036.0,429.53,533.1256,TRAIN
SHP-000172,2018-01-01,Central,Madhya Pradesh,WH048,Air,278.0,534.0,456.99,920.4024,TRAIN
SHP-000173,2018-01-01,Central,Madhya Pradesh,WH009,Rail,1647.0,1461.0,654.54,14918.8554,TRAIN
SHP-000174,2018-01-01,Central,Madhya Pradesh,WH024,Rail,349.0,600.0,590.6,1298.28,TRAIN
SHP-000175,2018-01-01,Central,Madhya Pradesh,WH014,Air,430.0,250.0,430.27,666.5,TRAIN
SHP-000176,2018-01-01,Central,Madhya Pradesh,WH022,Rail,1195.0,1393.0,667.29,10320.737,TRAIN
SHP-000177,2018-01-01,Central,Madhya Pradesh,WH001,Rail,723.0,1185.0,419.04,5311.881,TRAIN
SHP-000178,2018-01-01,Central,Madhya Pradesh,WH015,Rail,183.0,1706.0,480.43,1935.6276,TRAIN
SHP-000179,2018-01-01,Central,Madhya Pradesh,WH014,,93.0,619.0,467.54,356.9154,TRAIN
SHP-000180,2018-01-01,Central,Madhya Pradesh,WH012,Air,,475.0,493.71,285.665,TRAIN
SHP-000181,2018-01-01,Central,Madhya Pradesh,WH033,Rail,236.0,2184.0,596.9,3195.6288,TRAIN
SHP-000182,2018-01-01,Central,Madhya Pradesh,WH008,Rail,1542.0,588.0,700.51,5621.5152,TRAIN
SHP-000183,2018-01-01,Central,Madhya Pradesh,WH008,Air,1950.0,672.0,588.62,8124.48,TRAIN
SHP-000184,2018-01-01,Central,Madhya Pradesh,WH016,Rail,765.0,2220.0,711.36,,TRAIN
SHP-000185,2018-01-01,Central,Madhya Pradesh,,Road,1410.0,2353.0,426.33,20569.926,TRAIN
SHP-000186,2018-01-01,Central,Madhya Pradesh,WH025,Road,470.0,1424.0,611.09,4149.536,TRAIN
SHP-000187,2018-01-01,Central,Madhya Pradesh,WH017,Rail,1110.0,589.0,387.1,4053.498,TRAIN
SHP-000188,2018-01-01,Central,Madhya Pradesh,WH035,Air,367.0,1897.0,494.26,4316.4338,TRAIN
SHP-000189,2018-01-01,Central,Madhya Pradesh,WH037,Road,704.0,1503.0,610.36,6560.2944,TRAIN
SHP-000190,2018-01-01,Central,Madhya Pradesh,WH005,Air,1859.0,2074.0,614.69,23904.5092,TRAIN
SHP-000191,2018-01-01,Central,Madhya Pradesh,WH049,Road,803.0,1366.0,657.19,6800.7676,TRAIN
SHP-000192,2018-01-01,Central,Madhya Pradesh,WH025,Rail,1782.0,1271.0,484.71,14042.5164,TRAIN
SHP-000193,2018-01-01,Central,Madhya Pradesh,WH035,Air,953.0,1574.0,458.49,9300.1364,TRAIN
SHP-000194,2018-01-01,Central,Madhya Pradesh,WH028,Rail,1900.0,2473.0,519.0,29131.94,TRAIN
SHP-000195,2018-01-01,Central,Madhya Pradesh,WH034,Rail,1117.0,969.0,426.75,6710.7126,TRAIN
SHP-000196,2018-01-01,Central,Madhya Pradesh,WH024,Air,768.0,,412.87,790.4256,TRAIN
SHP-000197,2018-01-01,Central,Madhya Pradesh,WH042,Rail,949.0,2143.0,580.3,12608.9834,TRAIN
SHP-000198,2018-01-01,Central,Madhya Pradesh,WH043,Air,464.0,2113.0,483.0,6078.6784,TRAIN
SHP-000199,2018-01-01,Central,Madhya Pradesh,WH001,Road,930.0,282.0,418.23,1626.012,TRAIN
SHP-000200,2018-01-01,Central,Madhya Pradesh,WH041,Road,1234.0,2425.0,707.38,18553.19,TRAIN
SHP-000201,2018-02-01,North,Delhi,WH025,Road,150.0,994.0,671.95,,TRAIN
SHP-000202,2018-02-01,North,Delhi,WH026,Road,891.0,821.0,643.46,4535.3682,TRAIN
SHP-000203,2018-02-01,North,Delhi,WH021,Road,1643.0,2266.0,548.0,23082.8356,TRAIN
SHP-000204,2018-02-01,North,Delhi,WH047,Rail,194.0,2092.0,417.81,2516.2576,TRAIN
SHP-000205,2018-02-01,North,Delhi,WH003,Air,1917.0,1674.0,679.93,19896.1596,TRAIN
SHP-000206,2018-02-01,North,Delhi,WH030,Road,726.0,2420.0,486.21,10892.904,TRAIN
SHP-000207,2018-02-01,North,Delhi,WH046,Road,1955.0,529.0,589.53,6412.009,TRAIN
SHP-000208,2018-02-01,North,Delhi,WH027,Rail,1548.0,1965.0,521.87,18859.284,TRAIN
SHP-000209,2018-02-01,North,Delhi,WH004,Rail,152.0,1874.0,,1766.0576,TRAIN
SHP-000210,2018-02-01,North,Delhi,WH008,Rail,710.0,965.0,430.34,4247.93,TRAIN
SHP-000211,2018-02-01,North,Delhi,WH043,Rail,650.0,2352.0,693.68,9478.56,TRAIN
SHP-000212,2018-02-01,North,Delhi,WH017,Air,1229.0,1489.0,568.74,11345.8822,TRAIN
SHP-000213,2018-02-01,North,Delhi,WH027,,980.0,2422.0,701.87,14716.072,TRAIN
SHP-000214,2018-02-01,North,Delhi,WH019,Air,219.0,1764.0,417.76,2395.1592,TRAIN
SHP-000215,2018-02-01,North,Delhi,WH031,Road,609.0,673.0,613.49,2541.1134,TRAIN
SHP-000216,2018-02-01,North,Delhi,WH033,Air,878.0,2165.0,423.99,11785.394,TRAIN
SHP-000217,2018-02-01,North,Delhi,WH018,Air,117.0,1270.0,406.54,921.258,TRAIN
SHP-000218,2018-02-01,North,Delhi,WH038,Road,1547.0,2050.0,499.31,19662.37,TRAIN
SHP-000219,2018-02-01,North,Delhi,WH013,Road,1513.0,1655.0,516.61,15524.893,TRAIN
SHP-000220,2018-02-01,North,Delhi,WH013,Air,362.0,1067.0,587.58,2394.7748,TRAIN
SHP-000221,2018-02-01,North,Delhi,WH004,Road,1691.0,1479.0,514.48,15506.1318,TRAIN
SHP-000222,2018-02-01,North,Delhi,WH028,Road,1693.0,468.0,490.41,4912.4088,TRAIN
SHP-000223,2018-02-01,North,Delhi,WH007,Road,301.0,2303.0,401.36,4297.8586,TRAIN
SHP-000224,2018-02-01,North,Delhi,WH005,Road,1636.0,195.0,406.45,1977.924,TRAIN
SHP-000225,2018-02-01,North,Delhi,WH016,Air,609.0,1823.0,380.81,6883.2834,TRAIN
SHP-000226,2018-02-01,North,Delhi,WH031,Rail,1337.0,796.0,628.68,6598.3624,TRAIN
SHP-000227,2018-02-01,North,Delhi,WH022,Rail,1119.0,2102.0,403.38,14583.2556,TRAIN
SHP-000228,2018-02-01,North,Delhi,WH008,Rail,1708.0,303.0,589.84,3208.6488,TRAIN
SHP-000229,2018-02-01,North,Delhi,WH029,Rail,1878.0,1594.0,672.26,18559.8984,TRAIN
SHP-000230,2018-02-01,North,Delhi,WH010,Rail,1216.0,2279.0,669.69,17181.8368,TRAIN
SHP-000231,2018-02-01,North,Delhi,WH039,Rail,171.0,2476.0,490.4,2625.0552,TRAIN
SHP-000232,2018-02-01,North,Delhi,WH049,Air,,720.0,382.11,,TRAIN
SHP-000233,2018-02-01,North,Delhi,WH042,Rail,1452.0,246.0,,2214.5904,TRAIN
SHP-000234,2018-02-01,North,Delhi,WH030,Rail,,660.0,549.57,2471.568,TRAIN
SHP-000235,2018-02-01,North,Delhi,WH006,Rail,1062.0,431.0,406.38,2837.8764,TRAIN
SHP-000236,2018-02-01,North,Delhi,WH032,Air,1722.0,2221.0,633.83,23712.2844,TRAIN
SHP-000237,2018-02-01,North,Delhi,WH050,Road,372.0,1786.0,407.07,4119.2304,TRAIN
SHP-000238,2018-02-01,North,Delhi,,Air,1943.0,999.0,509.18,12034.5534,TRAIN
SHP-000239,2018-02-01,North,Delhi,WH045,Rail,361.0,2479.0,480.8,5548.4978,TRAIN
SHP-000240,2018-02-01,North,Delhi,WH049,Air,363.0,1657.0,577.5,3729.2442,TRAIN
SHP-000241,2018-02-01,South,Tamil Nadu,WH010,Road,935.0,695.0,676.17,4028.915,TRAIN
SHP-000242,2018-02-01,South,Tamil Nadu,WH047,Rail,1821.0,1596.0,713.51,18019.1592,TRAIN
SHP-000243,2018-02-01,South,Tamil Nadu,WH021,Air,1146.0,1230.0,659.47,8739.396,TRAIN
SHP-000244,2018-02-01,South,Tamil Nadu,WH039,Air,1761.0,1527.0,457.85,16672.0914,TRAIN
SHP-000245,2018-02-01,South,Tamil Nadu,WH034,Rail,305.0,2433.0,584.55,,TRAIN
SHP-000246,2018-02-01,South,Tamil Nadu,WH015,Rail,1287.0,782.0,698.82,6239.8908,TRAIN
SHP-000247,2018-02-01,South,Tamil Nadu,WH006,Rail,1712.0,1337.0,462.58,14191.4528,TRAIN
SHP-000248,2018-02-01,South,Tamil Nadu,WH024,Air,871.0,276.0,692.33,1490.4552,TRAIN
SHP-000249,2018-02-01,South,Tamil Nadu,WH025,Road,1213.0,1879.0,539.56,,TRAIN
SHP-000250,2018-02-01,South,Tamil Nadu,WH025,Air,1033.0,1069.0,633.44,6846.5174,TRAIN
SHP-000251,2018-02-01,South,Tamil Nadu,WH037,Road,892.0,1964.0,479.47,10861.7056,TRAIN
SHP-000252,2018-02-01,South,Tamil Nadu,WH049,Rail,682.0,2463.0,618.4,10414.5492,TRAIN
