Signal_Record_ID,Date,Region,State,Max_Temp_C,Min_Temp_C,Cooling_Degree_Days,Consumer_Confidence_Index,Google_Trends_AC_Index,COVID_Impact_Score,Heatwave_Severity_Score,Semiconductor_Shortage_Score,Festive_Multiplier,Composite_Demand_Index,Forecast_AC_Units_Next_Month_TARGET,Split_Tag
SIG-000093,2018-01-01,East,West Bengal,19.5201,8.6171,0.0,107.4891,8.0,0.0,0.0,0.0,,,429.0,TRAIN
SIG-000094,2018-01-01,East,West Bengal,18.0844,6.5317,,97.3436,8.0,0.0,0.0,0.0,1.2,0.1171,330.0,TRAIN
SIG-000095,2018-01-01,East,West Bengal,15.0942,3.8405,0.0,104.5202,8.0,0.0,0.0,0.0,1.2,0.1306,279.0,TRAIN
SIG-000096,2018-01-01,East,West Bengal,16.8476,5.6503,0.0,97.7682,8.0,0.0,0.0,0.0,1.2,0.1179,345.0,TRAIN
SIG-000097,2018-01-01,East,West Bengal,16.064,7.7806,0.0,96.3914,8.0,0.0,0.0,0.0,1.2,0.1153,333.0,TRAIN
SIG-000098,2018-01-01,East,West Bengal,15.9205,5.3298,0.0,92.0,8.0,0.0,0.0,0.0,1.2,0.1071,257.0,TRAIN
SIG-000099,2018-01-01,East,West Bengal,16.3537,4.7436,0.0,102.1565,8.0,0.0,0.0,0.0,1.2,0.1261,270.0,TRAIN
SIG-000100,2018-01-01,East,West Bengal,16.7741,5.5218,0.0,99.5615,8.0,0.0,0.0,0.0,,0.1213,236.0,TRAIN
SIG-000101,2018-01-01,East,West Bengal,17.2353,8.287,0.0,108.2688,8.0,0.0,0.0,0.0,1.2,0.1376,235.0,TRAIN
SIG-000102,2018-01-01,East,West Bengal,20.6149,8.9358,0.0,90.5328,8.0,0.0,0.0,0.0,1.2,0.1043,387.0,TRAIN
SIG-000103,2018-01-01,East,West Bengal,16.9504,8.8563,0.0,103.4736,8.0,0.0,0.0,0.0,1.2,0.1286,279.0,TRAIN
SIG-000104,2018-01-01,East,West Bengal,18.6785,6.8097,0.0,103.0825,,0.0,0.0,0.0,1.2,0.1279,312.0,TRAIN
SIG-000105,2018-01-01,East,West Bengal,17.6965,7.3536,0.0,93.9704,8.0,0.0,0.0,0.0,1.2,,360.0,TRAIN
SIG-000106,2018-01-01,East,West Bengal,18.0909,6.1366,0.0,94.3192,8.0,0.0,0.0,,1.2,0.1114,327.0,TRAIN
SIG-000107,2018-01-01,East,West Bengal,16.5315,5.2787,0.0,103.4171,8.0,0.0,0.0,0.0,1.2,0.1285,305.0,TRAIN
SIG-000108,2018-01-01,East,West Bengal,21.2012,13.0848,0.0,105.3844,8.0,0.0,0.0,0.0,,0.1322,359.0,TRAIN
SIG-000109,2018-01-01,East,West Bengal,18.6421,7.8477,0.0,97.7602,8.0,0.0,0.0,0.0,1.2,0.1179,365.0,TRAIN
SIG-000110,2018-01-01,East,West Bengal,19.1203,9.6606,0.0,93.7041,8.0,0.0,0.0,0.0,1.2,0.1103,358.0,TRAIN
SIG-000111,2018-01-01,East,West Bengal,17.7485,8.3799,0.0,110.7364,8.0,0.0,0.0,0.0,,0.1422,350.0,TRAIN
SIG-000112,2018-01-01,East,West Bengal,17.7093,6.8161,0.0,102.3527,8.0,0.0,0.0,0.0,1.2,0.1265,283.0,TRAIN
SIG-000113,2018-01-01,East,West Bengal,17.2562,5.3614,0.0,109.1013,8.0,0.0,0.0,0.0,1.2,,278.0,TRAIN
SIG-000114,2018-01-01,East,West Bengal,18.7665,7.42,0.0,104.489,8.0,0.0,0.0,0.0,1.2,0.1305,276.0,TRAIN
SIG-000115,2018-01-01,East,West Bengal,18.4134,9.6369,0.0,101.8879,8.0,0.0,0.0,0.0,1.2,0.1256,345.0,TRAIN
SIG-000116,2018-01-01,East,West Bengal,20.4712,,0.0,94.1722,8.0,0.0,0.0,0.0,1.2,0.1112,350.0,TRAIN
SIG-000117,2018-01-01,East,West Bengal,18.2868,,0.0,108.976,8.0,0.0,0.0,0.0,1.2,0.1389,324.0,TRAIN
SIG-000118,2018-01-01,East,West Bengal,16.9796,5.8436,0.0,94.9599,8.0,0.0,0.0,0.0,1.2,0.1126,292.0,TRAIN
SIG-000119,2018-01-01,East,West Bengal,18.7901,10.3675,0.0,,8.0,0.0,0.0,0.0,,0.1241,330.0,TRAIN
SIG-000120,2018-01-01,East,West Bengal,15.7064,5.3275,0.0,105.4457,8.0,0.0,0.0,0.0,1.2,0.1323,252.0,TRAIN
SIG-000121,2018-01-01,West,Maharashtra,20.3862,11.5061,0.0,93.9454,8.0,0.0,0.0,0.0,1.2,0.1107,552.0,TRAIN
SIG-000122,2018-01-01,West,Maharashtra,20.153,8.9053,0.0,114.2692,8.0,0.0,0.0,0.0,1.2,0.1489,462.0,TRAIN
SIG-000123,2018-01-01,West,Maharashtra,19.3314,7.6824,0.0,99.2697,8.0,0.0,0.0,0.0,1.2,0.1207,464.0,TRAIN
SIG-000124,2018-01-01,West,Maharashtra,23.1827,13.7277,13.6557,101.6201,8.0,0.0,0.0,0.0,1.2,0.1297,578.0,TRAIN
SIG-000125,2018-01-01,West,Maharashtra,19.7717,10.7174,0.0,112.314,8.0,0.0,0.0,0.0,1.2,0.1452,499.0,TRAIN
SIG-000126,2018-01-01,West,Maharashtra,21.4617,11.0711,0.0,95.3364,8.0,0.0,0.0,0.0,1.2,0.1134,582.0,TRAIN
SIG-000127,2018-01-01,West,Maharashtra,18.7881,9.5997,0.0,99.8926,8.0,0.0,0.0,0.0,1.2,0.1219,397.0,TRAIN
SIG-000128,2018-01-01,West,Maharashtra,19.2757,8.6605,0.0,114.5757,8.0,0.0,0.0,0.0,1.2,0.1494,512.0,TRAIN
SIG-000129,2018-01-01,West,Maharashtra,24.7695,13.1772,29.2007,109.7255,8.0,0.0,0.0,0.0,1.2,0.1501,633.0,TRAIN
SIG-000130,2018-01-01,West,Maharashtra,20.0442,11.5145,0.0,108.386,8.0,0.0,,0.0,1.2,0.1378,527.0,TRAIN
SIG-000131,2018-01-01,West,Maharashtra,21.1415,11.5692,0.0,95.964,8.0,0.0,0.0,0.0,1.2,0.1145,689.0,TRAIN
SIG-000132,2018-01-01,West,Maharashtra,22.1716,12.4516,0.0,94.1022,8.0,0.0,0.0,0.0,1.2,0.111,537.0,TRAIN
SIG-000133,2018-01-01,West,Maharashtra,21.2722,12.6052,0.0,92.4429,8.0,0.0,0.0,0.0,1.2,0.1079,550.0,TRAIN
SIG-000134,2018-01-01,West,Maharashtra,21.105,10.5219,0.0,103.1537,8.0,0.0,0.0,0.0,1.2,0.128,586.0,TRAIN
SIG-000135,2018-01-01,West,Maharashtra,19.1517,10.3825,0.0,110.2312,8.0,0.0,0.0,0.0,1.2,0.1413,449.0,TRAIN
SIG-000136,2018-01-01,West,Maharashtra,19.5223,11.1789,0.0,111.851,8.0,0.0,0.0,0.0,1.2,0.1443,504.0,TRAIN
SIG-000137,2018-01-01,West,Maharashtra,21.9224,10.7394,0.0,92.8509,8.0,0.0,,0.0,1.2,0.1087,523.0,TRAIN
SIG-000138,2018-01-01,West,Maharashtra,17.4734,5.6664,0.0,109.5373,8.0,0.0,0.0,0.0,1.2,0.14,515.0,TRAIN
SIG-000139,2018-01-01,West,Maharashtra,20.9539,9.2541,0.0,91.4679,8.0,0.0,0.0,0.0,1.2,0.1061,512.0,TRAIN
SIG-000140,2018-01-01,West,Maharashtra,17.1413,7.0567,0.0,93.2018,8.0,0.0,0.0,0.0,,0.1094,390.0,TRAIN
SIG-000141,2018-01-01,West,Maharashtra,20.8277,9.2178,0.0,,8.0,0.0,0.0,0.0,1.2,,553.0,TRAIN
SIG-000142,2018-01-01,West,Maharashtra,20.0949,9.4393,0.0,113.3995,8.0,0.0,,0.0,1.2,0.1472,555.0,TRAIN
SIG-000143,2018-01-01,West,Maharashtra,19.0871,9.7551,0.0,96.4852,8.0,0.0,0.0,0.0,1.2,0.1155,447.0,TRAIN
SIG-000144,2018-01-01,West,Maharashtra,17.2311,5.6791,0.0,104.727,8.0,0.0,0.0,0.0,1.2,0.131,366.0,TRAIN
SIG-000145,2018-01-01,West,Maharashtra,19.2329,10.0424,0.0,105.8087,8.0,0.0,0.0,0.0,1.2,0.133,489.0,TRAIN
SIG-000146,2018-01-01,West,Maharashtra,20.793,9.4373,0.0,108.0474,8.0,0.0,0.0,0.0,1.2,0.1372,559.0,TRAIN
SIG-000147,2018-01-01,West,Maharashtra,21.1886,12.6951,0.0,105.5182,8.0,0.0,0.0,0.0,1.2,0.1324,577.0,TRAIN
SIG-000148,2018-01-01,West,Maharashtra,18.676,6.9893,0.0,100.0821,8.0,0.0,0.0,0.0,1.2,0.1223,461.0,TRAIN
SIG-000149,2018-01-01,West,Maharashtra,18.8134,8.0325,0.0,110.0986,8.0,0.0,0.0,0.0,1.2,0.141,517.0,TRAIN
SIG-000150,2018-01-01,West,Maharashtra,21.1007,10.2868,0.0,107.6454,8.0,0.0,0.0,0.0,1.2,0.1364,567.0,TRAIN
SIG-000151,2018-01-01,West,Maharashtra,17.3152,6.9356,0.0,105.6832,8.0,0.0,0.0,0.0,1.2,0.1328,455.0,TRAIN
SIG-000152,2018-01-01,West,Maharashtra,22.2028,11.2143,0.0,108.032,8.0,0.0,0.0,0.0,1.2,0.1372,700.0,TRAIN
SIG-000153,2018-01-01,West,Maharashtra,16.9639,7.938,0.0,,8.0,0.0,0.0,0.0,1.2,0.1034,380.0,TRAIN
SIG-000154,2018-01-01,West,Maharashtra,21.4462,11.9536,0.0,104.774,8.0,0.0,0.0,0.0,1.2,0.1311,582.0,TRAIN
SIG-000155,2018-01-01,West,Maharashtra,19.3401,11.2,0.0,100.6628,8.0,0.0,0.0,0.0,1.2,0.1233,548.0,TRAIN
SIG-000156,2018-01-01,West,Maharashtra,17.3729,8.62,0.0,103.8258,8.0,0.0,0.0,0.0,1.2,0.1293,444.0,TRAIN
SIG-000157,2018-01-01,West,Maharashtra,21.1496,9.7598,0.0,105.6763,8.0,0.0,0.0,0.0,1.2,0.1327,588.0,TRAIN
SIG-000158,2018-01-01,West,Maharashtra,19.0897,7.8343,0.0,106.6236,10.0,0.0,0.0,0.0,1.2,0.1369,542.0,TRAIN
SIG-000159,2018-01-01,West,Maharashtra,17.0799,8.2257,,104.7711,8.0,0.0,0.0,0.0,1.2,0.131,445.0,TRAIN
SIG-000160,2018-01-01,West,Maharashtra,20.2306,9.1669,0.0,108.1067,8.0,0.0,0.0,0.0,,0.1373,501.0,TRAIN
SIG-000161,2018-01-01,Central,Madhya Pradesh,15.9261,6.0297,0.0,93.5333,8.0,0.0,0.0,0.0,1.2,0.11,361.0,TRAIN
SIG-000162,2018-01-01,Central,Madhya Pradesh,16.9929,7.9281,0.0,92.5128,8.0,0.0,0.0,0.0,1.2,0.1081,315.0,TRAIN
SIG-000163,2018-01-01,Central,Madhya Pradesh,13.4506,1.6258,0.0,94.7528,10.0,0.0,0.0,0.0,1.2,0.1147,146.0,TRAIN
SIG-000164,2018-01-01,Central,Madhya Pradesh,14.2308,5.4309,0.0,103.6266,8.0,0.0,0.0,0.0,1.2,0.1289,331.0,TRAIN
SIG-000165,2018-01-01,Central,Madhya Pradesh,17.6233,8.7805,0.0,,8.0,0.0,0.0,0.0,1.2,0.1438,356.0,TRAIN
SIG-000166,2018-01-01,Central,Madhya Pradesh,18.0405,8.8279,0.0,96.9611,8.0,0.0,,0.0,1.2,0.1164,392.0,TRAIN
SIG-000167,2018-01-01,Central,Madhya Pradesh,16.035,4.6461,0.0,95.8182,9.0,0.0,0.0,0.0,1.2,0.1155,308.0,TRAIN
SIG-000168,2018-01-01,Central,Madhya Pradesh,15.0049,4.7519,0.0,101.0945,9.0,0.0,0.0,0.0,1.2,0.1254,321.0,TRAIN
SIG-000169,2018-01-01,Central,Madhya Pradesh,14.9144,6.703,0.0,98.5,8.0,0.0,0.0,0.0,1.2,0.1193,281.0,TRAIN
SIG-000170,2018-01-01,Central,Madhya Pradesh,15.5152,6.3317,0.0,110.2194,8.0,0.0,0.0,0.0,1.2,0.1413,291.0,TRAIN
SIG-000171,2018-01-01,Central,Madhya Pradesh,12.1088,2.2547,0.0,92.0293,8.0,0.0,0.0,0.0,1.2,0.1072,150.0,TRAIN
SIG-000172,2018-01-01,Central,Madhya Pradesh,15.5948,7.2722,0.0,93.8057,8.0,0.0,0.0,0.0,,0.1105,290.0,TRAIN
SIG-000173,2018-01-01,Central,Madhya Pradesh,15.4993,,0.0,104.6471,8.0,0.0,0.0,0.0,1.2,0.1308,236.0,TRAIN
SIG-000174,2018-01-01,Central,Madhya Pradesh,14.4115,2.7738,0.0,99.6237,8.0,0.0,0.0,0.0,1.2,0.1214,231.0,TRAIN
SIG-000175,2018-01-01,Central,Madhya Pradesh,16.2089,4.7328,0.0,112.4396,8.0,0.0,0.0,0.0,1.2,0.1454,276.0,TRAIN
SIG-000176,2018-01-01,Central,Madhya Pradesh,15.8896,6.8281,0.0,98.6685,8.0,0.0,0.0,0.0,1.2,0.1196,283.0,TRAIN
SIG-000177,2018-01-01,Central,Madhya Pradesh,15.1578,4.7098,0.0,95.9351,8.0,0.0,0.0,,1.2,0.1145,272.0,TRAIN
SIG-000178,2018-01-01,Central,Madhya Pradesh,15.2139,3.7279,0.0,96.6224,8.0,0.0,0.0,0.0,1.2,0.1158,264.0,TRAIN
SIG-000179,2018-01-01,Central,Madhya Pradesh,,7.8985,0.0,,8.0,0.0,,0.0,1.2,0.1183,425.0,TRAIN
SIG-000180,2018-01-01,Central,Madhya Pradesh,16.6764,8.4096,0.0,96.8516,11.0,0.0,0.0,0.0,1.2,0.1198,316.0,TRAIN
